https://w3id.org/okn/o/sdm#Region,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sdm#geo,https://w3id.org/okn/o/sdm#partOf
Gambella,Gambella region (Ethiopia),"Gambella is also officially known as Gambella Peoples' Region, is one of the nine ethnic divisions (kililoch) of Ethiopia. Previously known as 'Region 12', its capital is Gambella. The Region is situated between the Baro and Akobo Rivers, with its western part including the Baro salient. Located in Gambella is Gambella National Park, which covers approximately 5,061 square kilometers or 17% of the Region's territory.",Gambella_Shape,Ethiopia
Ganale,Ganale (Ethiopia),"The Ganale Doria River (also transliterated as Genale Dorya) is a perennial river in southeastern Ethiopia. Rising in the mountains east of Aleta Wendo, the Ganale flows south and east to join with the Dawa at the border with Somalia to become the Jubba. The river's tributaries include the Welmel, Weyib (also known as Gestro), Dumale, Doya, Hawas and the Hambala. The Del Verme Falls is a notable feature of its middle course.",Ganale_Shape,Ethiopia
Guder,Guder (Ethiopia),"Guder is a town located in the Mirab Shewa Zone of the Oromia Region of Ethiopia. Located 12km west of Ambo, this town has a latitude and longitude of 8Â°58?N 37Â°46?E, with an elevation of 2101 meters above sea level. Guder is famous for its Guder River Falls and year-round fruit production, using plentiful water resources in the vicinity.",Guder_Shape,Ethiopia
Jamma,Jamma basin (Ethiopia),"The Jamma River is a river in central Ethiopia and a tributary of the Abay (or Blue Nile) on its right side. It drains parts of the Semien Shewa Zones of the Amhara and Oromia Regions. The Upper Jamma flows through steep, deep canyons cut first through volcanic rock and then through the Cretaceous sandstone and shaly sandstone, with Jurassic limestone at the bottom. It has a drainage area of about 15,782 square kilometers in size.",Jamma_Shape,Ethiopia
Kyrgyzstan,Kyrgyzstan,"Kyrgyzstan is a landlocked country with mountainous terrain. It is bordered by Kazakhstan to the north, Uzbekistan to the west and southwest, Tajikistan to the southwest and China to the east. Its capital and largest city is Bishkek.",Kyrgyzstan_Shape,
Muger,Muger basin (Ethiopia),"The Muger River (or Mujer) is a north-flowing tributary of the Abay River in central Ethiopia, which is notable for its deep gorge. Its confluence with the Abay is at: 9Â°55?07N 37Â°55?50ECoordinates: 9Â°55?07N 37Â°55?50E. Tributaries of the Muger include the Labbu. The Muger has a drainage area of about 8,188 square kilometers.",Muger_Shape,Ethiopia
Oromia,Oromia (Ethiopia),Oromia region in Ethiopia,Oromia_Shape,Ethiopia
Pongo_Basin_SS,Pongo basin region (South Sudan),Area of the Pongo Basin in South Sudan,Pongo_Basin_SS_Shape,South_Sudan
Shebelle,Shebelle (Ethiopia),"The Shebelle River begins in the highlands of Ethiopia, and then flows southeast into Somalia towards Mogadishu. Near Mogadishu, it turns sharply southwest, where it follows the coast. Below Mogadishu, the river becomes seasonal. During most years, the river dries up near the mouth of the Jubba River, while in seasons of heavy rainfall, the river actually reaches the Jubba and thus the Somali Sea.",Shebelle_Shape,Ethiopia
South_Sudan,South Sudan,"South Sudan officially known as the Republic of South Sudan, is a landlocked country in East-Central Africa. It gained independence from the Republic of the Sudan in 2011, making it the most recent sovereign state with widespread recognition. Its capital and largest city is Juba.",SouthSudan_Shape,Africa
Tekeze,Tekeze (Ethiopia),"Major river of Ethiopia. For part of its course it forms a section the westernmost border of Ethiopia and Eritrea. The river is also known as the Setit in Eritrea, western Ethiopia, and eastern Sudan. According to materials published by the Ethiopian Central Statistical Agency, the TekezÃ© River is 608 kilometers (378 mi) long",Tekeze_Shape,Ethiopia
Texas,Texas (USA),"Texas is the second largest state in the United States by area (after Alaska) and population (after California). Located in the South Central region, Texas shares borders with the states of Louisiana to the east, Arkansas to the northeast, Oklahoma to the north, New Mexico to the west, and the Mexican states of Chihuahua, Coahuila, Nuevo Leon, and Tamaulipas to the southwest, and has a coastline with the Gulf of Mexico to the southeast.",Texas_Shape,United_States
Travis,Travis,Travis (Texas),,Texas
United_States,United States of America,"The United States of America (U.S.A. or USA), commonly known as the United States (U.S. or US) or America, is a country comprising 50 states, a federal district, five major self-governing territories, and various possessions. At 3.8 million square miles (9.8 million km2), the United States is the world's third or fourth largest country by total area and is slightly smaller than the entire continent of Europe. With a population of over 327 million people, the U.S. is the third most populous country. The capital is Washington, D.C., and the most populous city is New York City. Most of the country is located contiguously in North America between Canada and Mexico.",,America
