https://w3id.org/okn/o/sd#Parameter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasDataType,https://w3id.org/okn/o/sd#hasDefaultValue,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#recommendedIncrement,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sdm#relevantForIntervention,https://w3id.org/okn/o/sd#adjustsVariable,https://w3id.org/okn/o/sd#hasFixedValue,https://w3id.org/okn/o/sd#hasAcceptedValues
1db0ef75-d280-454a-825e-25bbca50a333,https://w3id.org/wings/export/MINT#StartYear,calibration_start_year,The start year for the calibration,integer,2000,,,12,,,,,2000,
20ad21d5-07f1-4c58-aedb-766d1ab6991a,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
20e7c092-56d3-4903-8e94-1d2ac230e345,,unit_multifier,,,3600,,,8,,,,,,
22292e07-1ca4-414b-a9f3-cf470e926f94,,case,,int,2,,,6,,,,,,
2231b178-2a9f-4816-92ec-6eef191bb0fc,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
23623dda-c849-4508-97df-4b6ad8953e5e,,range_step_time,,string,P1D,,,7,,,,,,
257ba0f6-f2c3-4b23-96f0-1d0a60b43e22,,variable,,,atmosphere_water__rainfall_mass_flux,,,4,,,,,,
281cbdff-735e-43bc-99de-44da3ad2ce8b,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
2ae04ea6-a984-4cb0-90e0-050252f5db75,,DEM_xres_arcsecs,,,30,,,6,,,,,,
2d33fa0d-7280-4a31-a99e-680f8f4c4e28,,end_date,,string,2018-10-01,,,2,,,,,2018-10-01,
2e2da5b3-ffc0-4c45-b69d-4705dfa64c2b,,case,"1:homogeneous aquifer, 2:midly heterogeneous aquifer, 3:highly heterogeneous aquifer",int,2,3,1,6,,,,,2,
2f45ac3b-19ac-40c0-bfbf-6a4f1928a05d,,dt_cfg,,float,200,,,3,,,,,,
34efbbae-9e88-4ae9-92d9-d089a4dc2ad6,https://w3id.org/wings/export/MINT#Adjustment,min_lat,minimum latitude,float,3,14,3,5,,,,,3,
36adda0b-cfce-44e8-8a48-824d71146108,https://w3id.org/wings/export/MINT#EndYear,data_end_year,The year for which to end the calculation,integer,2017,,,11,,,,,2017,
3ddc8326-bc8f-48fd-98d4-9d18224b6015,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
3f905dbf-07e8-4536-9028-73fa60bee68f,,hydr,Hydraulic gradient,float,0.5,1,0,5,,,,,0.5,
4185a11b-616d-44b4-8353-bf48aba452d4,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
41a6a0fc-1da8-4fdd-9ca6-ca0a88395b28,,hydr,,string,2,,,5,,,,,,
4413af91-12f6-4b8e-bceb-13fa250477e3,,gldas_dataset_id,,string,5babae3f-c468-4e01-862e-8b201468e3b5,,,1,,,,,,
47041d3d-27dc-4b1c-beba-fa515b590f7f,,lead_time,,int,4,,,1,,,,,,
4874bd9d-b3b6-4089-8ed4-dc659382f772,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,505,
4a6dbf35-ad89-4444-a24b-0b1fc42861e9,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
4e1a8f17-e9f2-4fa8-a4b3-e1c1a8eb3c2f,,start_date,Start date of the simulation,string,2015-10-01,,,1,,,,,,
54a54588-78c8-4861-b52b-07683ace696f,https://w3id.org/wings/export/MINT#GenerateImage,generate_visualization,"If True, will generate a movie. PET visualization is not currently supported",boolean,True,,,14,,,,,True,
55da1bd7-255a-4ebb-8fdf-21b46ada3087,,degr,degradation rate,float,1,1,0,3,,,,,1,
5a3be3b8-4a16-43b8-9919-589fd356fd7f,,degr,,string,0.5,,,3,,,,,,
5c5b8a0c-7652-48b3-89e6-7ef89e27fd94,,hydr,Hydraulic Gradient,float,0.5,1,0,5,,,,,,
6164372a-5f4f-4fb7-a392-14b15a8b8fff,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
62b45286-1623-4150-9006-0c84c5a858de,,conc,concerned time period,float,30,50,0,4,,,,,,
63d103fc-e72a-474d-a906-68444f4f125a,,rech,recharge rate,float,1,1,0,1,,,,,,
64d3d4c2-f25d-4575-babe-5528e1e59b12,https://w3id.org/wings/export/MINT#EndYear,calibration_end_year,The end year for the calibration.,integer,2017,,,13,,,,,2017,
64d65683-72ac-4787-9577-3636772f6873,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,1500,
650a3411-b332-4683-9a2f-4507e0d6d10a,,dt_cfg,TopoFlow driver timestep (seconds),float,,,,3,,,,,200,
652be273-81ee-4717-9936-d36c0473c925,,inic,initial concentration of contaminant,float,1,1,0,2,,,,,,
6a886782-e877-4c7f-95c4-c751d13075c3,,dt_cfg,,float,200,,,3,,,,,200,
6acda2ad-1580-4504-883b-4aeca814ac1c,,dt_cfg,TopoFlow driver timestep (seconds),float,200,,,3,,,,,,
6b6f02c6-f547-4bf4-a9ee-be42e1cc6704,,rech,recharge rate,float,1,1,0,1,,,,,,
6d65d7fa-a1d6-45bd-807b-464f6db1442a,,case,"Case Number: 1: Homegenous Aquifer, 2: middle heterogenous aquifer, 3: Highly heterogenous aquifer",int,1,3,1,6,,,,,,
6f6158ac-8a28-4f6a-83d7-920db0e92ef7,,inic,,string,1,,,2,,,,,,
71dcc314-cc42-4558-87cc-a10eff1d5903,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
7263973e-f674-40aa-a750-45bf000c47c7,,rech,recharge rate,float,1,1,0,1,,,,,1,
76b64b23-d56e-4e12-b611-2d84dc439245,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
776060e5-60c9-4827-afc3-80d1684d4334,https://w3id.org/wings/export/MINT#Adjustment,max_lat,maximum latitude,float,15,15,4,6,,,,,15,
787d103b-5dbd-4f85-b019-4e09df7f75e6,,DEM_yres_arcsecs,,,30,,,7,,,,,,
7935a7d7-2ca4-4a49-9409-81657686c226,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
7a3b687a-dc5b-49f6-83de-5b729f00672e,,DEM_xres_arcsecs,,,30,,,6,,,,,,
7b67b451-f9ae-432d-aa5b-c6f0d84dd893,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
7b857113-18c1-4717-a313-98473eae2457,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
7f95a800-f614-4d5f-b6d6-51a725f2ced6,,hydr,Hydraulic gradient,float,0.5,1,0,5,,,,,0.5,
83b1fd38-4050-4560-afb2-59a75dea6c9a,,case,"1:homogeneous aquifer, 2:midly heterogeneous aquifer, 3:highly heterogeneous aquifer",int,2,3,1,6,,,,,2,
8400fef9-aa86-439b-ad1e-416dae64bbd7,,bounding_box,,,"23.995416666666,6.532916666667,28.020416666666,9.566250000000",,,5,,,,,,
870cdd66-e0a7-4496-814f-321742665055,,inic,Initial concentration of contaminant,float,1,1,0,2,,,,,,
8a55d7b8-58fa-4160-a4de-cff2d787b8de,,bounding_box,,,"23.995416666666,6.532916666667,28.020416666666,9.566250000000",,,5,,,,,,
8f724f0e-0215-413e-8fdf-8e54ed20bc3e,,conc,concerned time period,float,30,50,0,4,,,,,30,
910696ba-576c-4f85-bdd5-8f164f3fa181,,dt,,float,21600,,,4,,,,,21600,
92261c6d-2b31-4701-b5df-40fd124db2f4,,start_date,,,2014-08-01 00:00:00,,,2,,,,,,
95aad77e-7765-4a07-85d7-fbcaa1c96937,,DEM_yres_arcsecs,,,30,,,7,,,,,,
962bee52-677c-46dc-be94-8a559e69ef4b,,conc,concerned time period,float,30,50,0,4,,,,,,
9924d9bb-adc1-44b1-b06f-e86562655690,https://w3id.org/wings/export/MINT#ScalesAdjustment,scales,Either '6' or '12' month,integer,6,12,6,9,,,,,6,
9efc2f01-526b-4b4e-8b97-a9c91f999dae,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
a43e8cdf-477e-475c-93cd-8cf7c41c143b,,lead_time,Number of months to do the forecast,int,4,4,1,1,,,,,4,
a7f99380-4c97-4cdf-8156-2bc3ea45e189,,dt,Meteorology time step (seconds). Set to 10800 for 3h (we are using GLDAS data),float,10800,,,4,,,,,10800,
a9ad5375-38b7-4690-91b9-c4b5489db3a5,,end_date,,,2014-08-02 00:00:00,,,3,,,,,,
a9c70b91-829b-4e5b-8e70-86097a78d364,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
aa1855aa-d532-4208-970c-cadb972b87aa,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
ab818fc5-cf51-44b9-ac76-cb269de7e83c,https://w3id.org/wings/export/MINT#IndexType,index,"The index to be calculated.    SPI: Standardized Precipitation Index, utilizing both gamma and Pearson Type III distributions    PET: Potential Evapotranspiration, utilizing Thornthwaite equations    SPEI: Standardized Precipitation Evapotranspiration Index, utilizing both gamma and Pearson Type III distributions.",string,SPI,,,2,,,,,SPEI,
ac219223-8037-4737-9557-90a1b59c185a,,dt,Meteorology time step. Set to 21600 for 6 h (CHIRPS data),float,,,,4,,,,,21600,
ad75375f-0bae-4e43-a5a4-0e001326f822,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
af806568-c5e0-41a6-8d28-90fdd0d033eb,,lead_time,,int,4,,,1,,,,,,
b0027a27-4741-42d9-8196-377363a45de3,,end_date,,,2014-08-02 00:00:00,,,3,,,,,,
b3b8aa5f-50e4-4c0b-b597-5d9c35526477,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
b789e988-1eed-4136-ab31-f3edc3d9b388,,inic,initial concentration of contaminant,float,1,1,0,2,,,,,1,
b8b88204-9f45-462d-80cd-56085f231e5b,,range_end_time,,string,2011-01-02 00:00:00,,,6,,,,,,
ba0bdb08-d445-462a-9119-4f8d93185deb,,lead_time,,int,4,,,1,,,,,,
bc315bde-7c85-4bcf-ae31-a09a08b64f86,,start_date,,string,2015-10-01,,,1,,,,,2015-10-01,
bc902abc-0c6c-4061-83ac-f6b913d74fb7,,range_start_time,,string,2011-01-01 00:00:00,,,5,,,,,,
bd21bec4-5fd1-41b6-a483-08d70e4d15d8,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
bd5a0fdd-e186-4e4b-8724-f80d685f35cd,,end_date,,string,2018-10-01,,,2,,,,,,
c2afa55c-fcd2-4457-97a1-534f69fd594c,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
c2fb4ed2-e56c-4444-a7b1-b5058322b019,,unit_multifier,,,3600,,,8,,,,,,
c3d38705-398b-40c4-9f4e-154d0eabb63a,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
c5c11871-e752-4389-af6e-4a4be73ceadb,,start_date,,string,2015-10-01,,,1,,,,,,
c66d1731-411f-4c38-b96e-699bfda144a4,,rech,,string,1,,,6,,,,,,
c7eb34d6-8c56-48e1-b0fb-6990fd79869e,,lead_time,Time in months to do the prediction,int,4,4,1,1,,,,,,
c8527c88-4f4a-4019-878f-44e29b0e5a31,https://w3id.org/wings/export/MINT#StartYear,data_start_year,The year for which to start calculating the Index,integer,2008,,,10,,,,,2008,
c8b5aae7-c8ea-4032-a6aa-1eaabbce5f63,,degr,Degradation rate,float,1,1,0,5,,,,,,
ca361c34-265d-461f-a460-abc35d995ed0,https://w3id.org/wings/export/MINT#DataSelection,data_type,"The type of NetCDF files. Valid entries are GLDAS, FLDAS or CHIRPS",string,GLDAS,,,1,,,,,GLDAS,
cb968990-f2a1-44cb-a9cc-032647e9ba82,,inic,initial concentration of contaminant,float,1,1,0,2,,,,,1,
ce8f4fd3-a88b-47bf-80e1-f49157810ee8,,case,"1:homogeneous aquifer, 2:midly heterogeneous aquifer, 3:highly heterogeneous aquifer",int,2,3,1,6,,,,,,
cecb8ac5-07d5-4cd6-94fc-d118a7814710,,dt,,float,21600,,,4,,,,,,
cf15c265-181c-40fb-9e01-adb5477c1c4a,,degr,degradation rate,float,1,1,0,5,,,,,1,
cf80da8a-65f5-4201-b0f9-cf03be3bd4f0,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
climcomp_datasource,https://w3id.org/wings/export/MINT#DataSource,dataset_source,dataset source,string,FLDAS,,,1,,,,,,
climcomp_flagP,https://w3id.org/wings/export/MINT#FlagP,flagP,flag P,string,Rainf_f_tavg,,,2,,,,,,
climcomp_flagP_T,,,,,,,,,,,,,,
climcomp_max_lat,https://w3id.org/wings/export/MINT#MaxLatitude,max_lat,maximum latitude,float,9.335303,,,6,,degree,,,,
climcomp_max_lon,https://w3id.org/wings/export/MINT#MaxLongitude,max_lon,maximum longitude,float,27.74012,,,4,,degree,,,,
climcomp_max_month,https://w3id.org/wings/export/MINT#MaxMonth,max_month,maximum month,float,8,,,8,,month,,,,
climcomp_min_lat,https://w3id.org/wings/export/MINT#MinLatitude,min_lat,minimum latitude,float,6.700375,,,5,,degree,,,,
climcomp_min_lon,https://w3id.org/wings/export/MINT#MinLongitude,min_lon,minimum longitude,float,24.15235,,,3,,degree,,,,
climcomp_min_month,https://w3id.org/wings/export/MINT#MinMonth,min_month,minimum month,float,6,,,7,,month,,,,
climcomp_year,https://w3id.org/wings/export/MINT#ClimCompYear,year,year,float,2017,,,9,,year,,,,
cycles-0.10.2-alpha-collection-oromia-single-point_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame;Teff;SpringWheat;SpringBarley
cycles-0.10.2-alpha-collection-oromia-single-point_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,,day,plantingWindows,cycles_end_doy,,
cycles-0.10.2-alpha-collection-oromia-single-point_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,,year,,cycles_end_year,,
cycles-0.10.2-alpha-collection-oromia-single-point_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,,kg ha-1,,cycles_mass,,
cycles-0.10.2-alpha-collection-oromia-single-point_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,,day,plantingWindows,cycles_doy,,
cycles-0.10.2-alpha-collection-oromia-single-point_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,,year,,cycles_start_year,,
cycles-0.10.2-alpha-collection-oromia-single-point_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.10.2-alpha-collection-oromia-single-point_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,0.25,,weedControl,cycles_fraction,,
cycles-0.10.2-alpha-collection-oromia_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame;Teff;SpringWheat;SpringBarley
cycles-0.10.2-alpha-collection-oromia_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,,day,plantingWindows,cycles_end_doy,,
cycles-0.10.2-alpha-collection-oromia_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,,year,,cycles_end_year,,
cycles-0.10.2-alpha-collection-oromia_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,,kg ha-1,,cycles_mass,,
cycles-0.10.2-alpha-collection-oromia_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,,day,plantingWindows,cycles_doy,,
cycles-0.10.2-alpha-collection-oromia_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,,year,,cycles_start_year,,
cycles-0.10.2-alpha-collection-oromia_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.10.2-alpha-collection-oromia_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,0.25,,weedControl,cycles_fraction,,
cycles-0.10.2-alpha-collection_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame;Teff;SpringWheat;SpringBarley
cycles-0.10.2-alpha-collection_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,,day,plantingWindows,cycles_end_doy,,
cycles-0.10.2-alpha-collection_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,,year,,cycles_end_year,,
cycles-0.10.2-alpha-collection_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,,kg ha-1,,cycles_mass,,
cycles-0.10.2-alpha-collection_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,,day,plantingWindows,cycles_doy,,
cycles-0.10.2-alpha-collection_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,,year,,cycles_start_year,,
cycles-0.10.2-alpha-collection_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.10.2-alpha-collection_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,0.25,,weedControl,cycles_fraction,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,,day,plantingWindows,cycles_end_doy,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,,year,,cycles_end_year,,
