https://w3id.org/okn/o/sd#Parameter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasDataType,https://w3id.org/okn/o/sd#hasDefaultValue,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sd#recommendedIncrement,https://w3id.org/okn/o/sdm#relevantForIntervention,https://w3id.org/okn/o/sd#adjustsVariable,https://w3id.org/okn/o/sd#hasFixedValue,https://w3id.org/okn/o/sd#hasAcceptedValues
b91c4360-1cae-4ff2-a958-c775fc290b37,https://w3id.org/wings/export/MINT#DistributionAdjustment,distribution,Either 'gamma' or 'pearson',string,gamma,,,7,,,,,gamma,
bea6094f-5a0f-4d88-bc00-ecdfda66bed5,https://w3id.org/wings/export/MINT#FlagP,flagP,flag P,string,Rainf_f_tavg,,,1,,,,,Rainf_f_tavg,
beeba707-532c-461e-9052-0f21ab3a17f3,https://w3id.org/wings/export/MINT#MinLatitude,min_lat,minimum latitude,float,2,,,4,degree,,,,,
c03ea958-2a70-4e55-bd55-c12f543593a0,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
c0eefd80-921a-4bb2-b56a-d83ee59dacd4,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
c6410e93-752a-42b2-a2d0-166e19b6dd99,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
c71a129c-e35c-42d0-820f-4fcb2893e75e,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
c8c1c393-92ae-4ac3-a7ba-3e36299c3938,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
cd4cc361-3403-41aa-8b79-a7effd62507d,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
climcomp_datasource,https://w3id.org/wings/export/MINT#DataSource,dataset_source,dataset source,string,FLDAS,,,1,,,,,,
climcomp_flagP,https://w3id.org/wings/export/MINT#FlagP,flagP,flag P,string,Rainf_f_tavg,,,2,,,,,,
climcomp_flagP_T,,,,,,,,,,,,,,
climcomp_max_lat,https://w3id.org/wings/export/MINT#MaxLatitude,max_lat,maximum latitude,float,9.335303,,,6,degree,,,,,
climcomp_max_lon,https://w3id.org/wings/export/MINT#MaxLongitude,max_lon,maximum longitude,float,27.74012,,,4,degree,,,,,
climcomp_max_month,https://w3id.org/wings/export/MINT#MaxMonth,max_month,maximum month,float,8,,,8,month,,,,,
climcomp_min_lat,https://w3id.org/wings/export/MINT#MinLatitude,min_lat,minimum latitude,float,6.700375,,,5,degree,,,,,
climcomp_min_lon,https://w3id.org/wings/export/MINT#MinLongitude,min_lon,minimum longitude,float,24.15235,,,3,degree,,,,,
climcomp_min_month,https://w3id.org/wings/export/MINT#MinMonth,min_month,minimum month,float,6,,,7,month,,,,,
climcomp_year,https://w3id.org/wings/export/MINT#ClimCompYear,year,year,float,2017,,,9,year,,,,,
cycles-0.10.2-alpha-collection-oromia-single-point_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame;Teff;SpringWheat;SpringBarley
cycles-0.10.2-alpha-collection-oromia-single-point_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,day,,plantingWindows,cycles_end_doy,,
cycles-0.10.2-alpha-collection-oromia-single-point_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,year,,,cycles_end_year,,
cycles-0.10.2-alpha-collection-oromia-single-point_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,kg ha-1,,,cycles_mass,,
cycles-0.10.2-alpha-collection-oromia-single-point_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,day,,plantingWindows,cycles_doy,,
cycles-0.10.2-alpha-collection-oromia-single-point_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,year,,,cycles_start_year,,
cycles-0.10.2-alpha-collection-oromia-single-point_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.10.2-alpha-collection-oromia-single-point_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,,0.25,weedControl,cycles_fraction,,
cycles-0.10.2-alpha-collection-oromia_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame;Teff;SpringWheat;SpringBarley
cycles-0.10.2-alpha-collection-oromia_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,day,,plantingWindows,cycles_end_doy,,
cycles-0.10.2-alpha-collection-oromia_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,year,,,cycles_end_year,,
cycles-0.10.2-alpha-collection-oromia_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,kg ha-1,,,cycles_mass,,
cycles-0.10.2-alpha-collection-oromia_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,day,,plantingWindows,cycles_doy,,
cycles-0.10.2-alpha-collection-oromia_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,year,,,cycles_start_year,,
cycles-0.10.2-alpha-collection-oromia_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.10.2-alpha-collection-oromia_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,,0.25,weedControl,cycles_fraction,,
cycles-0.10.2-alpha-collection_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame;Teff;SpringWheat;SpringBarley
cycles-0.10.2-alpha-collection_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,day,,plantingWindows,cycles_end_doy,,
cycles-0.10.2-alpha-collection_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,year,,,cycles_end_year,,
cycles-0.10.2-alpha-collection_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,kg ha-1,,,cycles_mass,,
cycles-0.10.2-alpha-collection_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,day,,plantingWindows,cycles_doy,,
cycles-0.10.2-alpha-collection_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,year,,,cycles_start_year,,
cycles-0.10.2-alpha-collection_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.10.2-alpha-collection_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,,0.25,weedControl,cycles_fraction,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,day,,plantingWindows,cycles_end_doy,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,year,,,cycles_end_year,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,kg ha-1,,,cycles_mass,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,day,,plantingWindows,cycles_doy,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,year,,,cycles_start_year,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,,0.25,weedControl,cycles_fraction,,
cycles-0.9.4-alpha-advanced-ethiopia-weather_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame
cycles-0.9.4-alpha-advanced-ethiopia-weather_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,day,,plantingWindows,cycles_end_doy,,
cycles-0.9.4-alpha-advanced-ethiopia-weather_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,year,,,cycles_end_year,,
cycles-0.9.4-alpha-advanced-ethiopia-weather_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,kg ha-1,,,cycles_mass,,
cycles-0.9.4-alpha-advanced-ethiopia-weather_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,day,,plantingWindows,cycles_doy,,
cycles-0.9.4-alpha-advanced-ethiopia-weather_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,year,,,cycles_start_year,,
cycles-0.9.4-alpha-advanced-ethiopia-weather_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.9.4-alpha-advanced-ethiopia-weather_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,,0.25,weedControl,cycles_fraction,,
cycles-0.9.4-alpha-advanced-ethiopia_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame
cycles-0.9.4-alpha-advanced-ethiopia_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,day,,plantingWindows,cycles_end_doy,,
cycles-0.9.4-alpha-advanced-ethiopia_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,year,,,cycles_end_year,,
cycles-0.9.4-alpha-advanced-ethiopia_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,kg ha-1,,,cycles_mass,,
cycles-0.9.4-alpha-advanced-ethiopia_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,day,,plantingWindows,cycles_doy,,
cycles-0.9.4-alpha-advanced-ethiopia_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,year,,,cycles_start_year,,
cycles-0.9.4-alpha-advanced-ethiopia_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.9.4-alpha-advanced-ethiopia_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,,0.25,weedControl,cycles_fraction,,
cycles-0.9.4-alpha-advanced-pongo-multple-points_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame
cycles-0.9.4-alpha-advanced-pongo-multple-points_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,day,,plantingWindows,cycles_end_doy,,
cycles-0.9.4-alpha-advanced-pongo-multple-points_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,year,,,cycles_end_year,,
cycles-0.9.4-alpha-advanced-pongo-multple-points_fertilizer_rate,https://w3id.org/wings/export/MINT#CyclesFertilizerRate,fertilizer_rate,Mass of nitrogen fertilizer added each year (kg/ha). The model will multiply the mass by the concentration of the fertilizer (0.32). Teff crops should not surpass 312.5kg/ha,float,0,1250,0,6,kg ha-1,,,cycles_mass,,
cycles-0.9.4-alpha-advanced-pongo-multple-points_start_planting_day,https://w3id.org/wings/export/MINT#CyclesStartPlantingDay,start_planting_day,Day of the year for the start of the planting window,int,100,365,1,4,day,,plantingWindows,cycles_doy,,
cycles-0.9.4-alpha-advanced-pongo-multple-points_start_year,https://w3id.org/wings/export/MINT#CyclesStartYear,start_year,Year when the simulation starts,int,2000,,,1,year,,,cycles_start_year,,
cycles-0.9.4-alpha-advanced-pongo-multple-points_use_forcing,https://w3id.org/wings/export/MINT#CyclesUseForcing,use_forcing,Use forcing data from a hydrology model (when available),boolean,FALSE,,,8,,,,,FALSE,
cycles-0.9.4-alpha-advanced-pongo-multple-points_weed_fraction,https://w3id.org/wings/export/MINT#CyclesWeedFraction,weed_fraction,"Areal fraction of weed: 0.05 is low, 0.25 is moderate, 1 is high, and 2 is the maximum (after 2 there will be no response from the model)",float,0.05,2,0,7,,0.25,weedControl,cycles_fraction,,
cycles-0.9.4-alpha-advanced-pongo-weather_crop_name,https://w3id.org/wings/export/MINT#CyclesCropName,crop_name,"Name of the crop to run the simulation for. Accepted values are: Maize,Sorghum,Peanut,Sesame,Teff,SpringWheat,SpringBarley",string,Maize,,,3,,,,cycles_crop_name,,Maize;Sorghum;Peanut;Sesame
cycles-0.9.4-alpha-advanced-pongo-weather_end_planting_day,https://w3id.org/wings/export/MINT#CyclesEndPlantingDay,end_planting_day,Day of the year for the end of the planting window,int,149,365,1,5,day,,plantingWindows,cycles_end_doy,,
cycles-0.9.4-alpha-advanced-pongo-weather_end_year,https://w3id.org/wings/export/MINT#CyclesEndYear,end_year,Year when the simulation ends,int,2017,,,2,year,,,cycles_end_year,,
