https://w3id.org/okn/o/sd#DatasetSpecification,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#hasDimensionality,https://w3id.org/okn/o/sd#hasFixedResource,https://w3id.org/okn/o/sd#hasFormat,https://w3id.org/okn/o/sd#hasPresentation
2048ea4d-05dc-4bd3-8bc1-35fdd28fc8e3,https://w3id.org/wings/export/MINT#MODFLOWhfb6,hfb6,Horizontal flow barrier file,8,0,,hf6,
21cf035c-d5a5-4fe4-a9d3-33aa4f801272,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,fecd9ecf-efd9-4a4b-a54f-acbc8bed94c4,tif,hand_dem
252681f4-3be9-448e-8560-8d9fa239c30c,https://w3id.org/wings/export/MINT#MODFLOWBas6,bas6,Basic Package Input for the Groundwater Flow Process Basic file,1,0,,ba6,modflow2005_strt
2a644110-8d2a-4fe7-853b-15d55a284c4a,https://w3id.org/wings/export/MINT#MODFLOWbcf6,bcf6,Block centered flow package file,3,0,,bc6,modflow2005_sf1;modflow2005_hy;modflow2005_sf2;modflow2005_vcont;modflow2005_tran;modflow2005_trpy
2c418574-29cc-4991-b5c9-dc8c66ebf6d2,https://w3id.org/wings/export/MINT#MODFLOWdis,dis,Discretization file,2,0,,dis,modflow2005_ncol;modflow2005_nlay;modflow2005_perlen;modflow2005_nstp;modflow2005_tsmult;modflow2005_nrow;modflow2005_top;modflow2005_delr;modflow2005_delc;modflow2005_botm;modflow2005_nper
2da443d0-a859-4ce0-8261-6a26e67c16b7,https://w3id.org/wings/export/MINT#MODFLOWsip,sip,Strongly Implicit Procedure package file,9,0,,dat,
2ea5352a-b30b-486c-b1e2-8575e3f98d58,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,1021c9c0-ad75-4fa0-b3ba-c9177e5e686f,tif,hand_dem
323521f8-35ee-4bf4-9590-e36aa999d5a3,https://w3id.org/wings/export/MINT#MODFLOWdrn,drn,Drain package file,6,0,,dat,
33aa295c-a540-49c0-b977-cc65190d857d,https://w3id.org/wings/export/MINT#MODFLOWdrn,drn,Drain package file,6,0,,dat,
34d5b13b-0838-4e79-864a-bcda3e0973df,https://w3id.org/wings/export/MINT#MODFLOWrch,rch,Recharge file,7,0,,dat,modflow2005_rech
3752d28e-f45b-4a1b-a432-a09f6126e3f3,https://w3id.org/wings/export/MINT#FLDAS,monthly-weather,Input to the weather generator (monthly),1,0,343ce3d6-eee1-4fd9-84a1-f4de813d162c,tar.gz,wgen_stationid;wgen_prcp;wgen_year;wgen_cloudfraction;wgen_wetdays;wgen_minT;wgen_maxT;wgen_windspeed;wgen_month;wgen_lon;wgen_lat
444bcd3e-fd7c-46fd-9e48-2b956c7d7fcc,https://w3id.org/wings/export/MINT#MODFLOWhfb6,hfb6,Horizontal flow barrier file,8,0,,hf6,
4519b3c0-eff4-4900-a4bf-ce21c2f51fa9,https://w3id.org/wings/export/MINT#MODFLOWBas6,bas6,Basic Package Input for the Groundwater Flow Process Basic file,1,0,,ba6,modflow2005_strt
4679ebf3-e084-4379-aa7c-b0fde6910d67,https://w3id.org/wings/export/MINT#MODFLOWwel,wel,Well file,5,0,,dat,modflow2005_q
488fb027-d751-4fa8-922b-14555d1cc23c,https://w3id.org/wings/export/MINT#MODFLOWoc,oc,Output control file,4,0,,dat,
4df9e283-4e94-4a8a-86ab-482fb8128f43,https://w3id.org/wings/export/MINT#FLDAS,daily-weather,Input to the weather generator (daily),2,0,30e2da24-5998-4383-8c53-3d7e99c6e3e8,tar.gz,wgen_stationid;wgen_prcp;wgen_year;wgen_cloudfraction;wgen_wetdays;wgen_minT;wgen_maxT;wgen_windspeed;wgen_month;wgen_lon;wgen_lat
5421bc5d-cdf0-4fb7-8785-f6a22e26cc59,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,f06ed00b-6056-4430-b873-c9455a9dc9bd;f06ed00b-6056-4430-b873-c9455a9dc9bd,tif,hand_dem
61afb84f-dbdd-44b6-9b6a-24f68ea5ec52,https://w3id.org/wings/export/MINT#MODFLOWoc,oc,Output control file,4,0,,dat,
6398a8d1-a45c-4d7f-b37d-bbff989acf5a,https://w3id.org/wings/export/MINT#MODFLOWrch,rch,Recharge file,7,0,,dat,modflow2005_rech
6aa1eff0-3f80-4dea-936e-c775be974bfd,https://w3id.org/wings/export/MINT#MODFLOWdis,dis,Discretization file,2,0,,dis,modflow2005_ncol;modflow2005_nlay;modflow2005_perlen;modflow2005_nstp;modflow2005_tsmult;modflow2005_nrow;modflow2005_top;modflow2005_delr;modflow2005_delc;modflow2005_botm;modflow2005_nper
70abcc33-f942-4c1e-a263-62aec588c8dd,https://w3id.org/wings/export/MINT#MODFLOWbcf6,bcf6,Block centered flow package file,3,0,,bc6,modflow2005_sf1;modflow2005_hy;modflow2005_sf2;modflow2005_vcont;modflow2005_tran;modflow2005_trpy
7286ca0b-f1f3-47c2-a899-00bc44537dee,https://w3id.org/wings/export/MINT#MODFLOWwel,wel,Well file,5,0,,dat,modflow2005_q
789d2c12-eb1a-4bb2-a8c0-45b9814bdc05,https://w3id.org/wings/export/MINT#MODFLOWbcf6,bcf6,Block centered flow package file,3,0,,bc6,modflow2005_sf1;modflow2005_hy;modflow2005_sf2;modflow2005_vcont;modflow2005_tran;modflow2005_trpy
7b99e655-0efa-4846-8a84-b16bc10ee2fc,https://w3id.org/wings/export/MINT#Data,data,Data input,1,0,,nc,
7cce5b5a-d836-44e8-b7dd-1291e6e25c6a,https://w3id.org/wings/export/MINT#MODFLOWwel,wel,Well file,5,0,,dat,modflow2005_q
80130d39-9d01-4aa1-8322-9d5ce750d830,https://w3id.org/wings/export/MINT#MODFLOWrch,rch,Recharge file,7,0,,dat,modflow2005_rech
80e16522-cd45-4662-b733-024e65c4e3d0,https://w3id.org/wings/export/MINT#MODFLOWdrn,drn,Drain package file,6,0,,dat,
822d692f-ce0d-4878-a86b-c4a5a6f736f0,https://w3id.org/wings/export/MINT#MODFLOWhfb6,hfb6,Horizontal flow barrier file,8,0,,hf6,
867902cf-6f04-43d5-8976-80544dfe8739,https://w3id.org/wings/export/MINT#MODFLOWdrn,drn,Drain package file,6,0,,dat,
87a443fa-7e8f-477e-ba83-ba5d0d8144e1,https://w3id.org/wings/export/MINT#MODFLOWwel,wel,Well file,5,0,,dat,modflow2005_q
87b0a68d-f255-4fd8-a7ba-a1435b7a2e18,https://w3id.org/wings/export/MINT#MODFLOWoc,oc,Output control file,4,0,,dat,
8b6b1f27-f2a3-4b1c-9f80-090e4e73b79f,https://w3id.org/wings/export/MINT#MODFLOWBas6,bas6,Basic Package Input for the Groundwater Flow Process Basic file,1,0,,ba6,modflow2005_strt
8c6a11c7-95f2-446a-8805-3e81f3ea4ce6,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,,tif,hand_dem
8e106c37-a505-4623-9a0f-3748b9df4b4b,https://w3id.org/wings/export/MINT#MODFLOWoc,oc,Output control file,4,0,,dat,
8f6c3743-0193-466d-8426-0a6d4d23e747,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,cf4f4edf-ff69-4289-ac89-50cb0c017522,tif,hand_dem
907f3224-cfe9-47ba-b678-489190d67f0d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,c2cedb58-0913-469b-af9c-09328b1c8059,tif,hand_dem
91ae6e24-f160-4625-893e-e735e061c255,https://w3id.org/wings/export/MINT#MODFLOWdis,dis,Discretization file,2,0,,dis,modflow2005_ncol;modflow2005_nlay;modflow2005_perlen;modflow2005_nstp;modflow2005_tsmult;modflow2005_nrow;modflow2005_top;modflow2005_delr;modflow2005_delc;modflow2005_botm;modflow2005_nper
92345a9e-2ff4-488f-b274-09edc9c672b4,https://w3id.org/wings/export/MINT#MODFLOWbcf6,bcf6,Block centered flow package file,3,0,,bc6,modflow2005_sf1;modflow2005_hy;modflow2005_sf2;modflow2005_vcont;modflow2005_tran;modflow2005_trpy
9c3cf039-9d5d-4e62-9844-129143da9d36,https://w3id.org/wings/export/MINT#MODFLOWhfb6,hfb6,Horizontal flow barrier file,8,0,,hf6,
DSSAT_simulationFile,https://w3id.org/wings/export/MINT#DSSAT_SIMULATION,DSSAT simulation file,DSSAT simulation file,,0,,x,DSSAT_YCRD;DSSAT_CR;DSSAT_FDEP;DSSAT_SNO3;DSSAT_XCRD;DSSAT_PLDP;DSSAT_SNH4;DSSAT_ICBL;DSSAT_FDATE;DSSAT_SH2O;DSSAT_FAMN;DSSAT_PDATE;DSSAT_PPOP;DSSAT_INGENO;DSSAT_PLRS
DSSAT_sol,https://w3id.org/wings/export/MINT#Soil,DSSAT soil file,DSSAT soil file,,0,,sol,DSSAT_SDUL;DSSAT_SSKS;DSSAT_SSAT;DSSAT_SLSI;DSSAT_SALB;DSSAT_SLLL;DSSAT_SLB;DSSAT_SBDM;DSSAT_SLOC;DSSAT_SLCL
DSSAT_summary,https://w3id.org/wings/export/MINT#Summary,DSSAT Summary file,DSSAT Summary file,,0,,csv,DSSAT_cwam;DSSAT_hwam
DSSAT_weatherFile,https://w3id.org/wings/export/DSSAT_WEATHER,DSSAT weather file,DSSAT weather file,,0,,wth,DSSAT_TMAX;DSSAT_TMIN;DSSAT_WSTA;DSSAT_LAT;DSSAT_TAV;DSSAT_RAIN;DSSAT_SRAD;DSSAT_LONG
a16f666a-a354-4220-895a-00e069dc32d5,https://w3id.org/wings/export/MINT#MODFLOWBas6,bas6,Basic Package Input for the Groundwater Flow Process Basic file,1,0,,ba6,modflow2005_strt
a2ef0d31-5feb-4ae0-b6be-557f73c5c64f,https://w3id.org/wings/export/MINT#MODFLOWwel,wel,Well file,5,0,,dat,modflow2005_q
a62aed7d-621b-4b52-96ef-38c4ea1ad178,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,a8c9bc9d-b308-4331-a8dd-5cb82cde71df,tif,hand_dem
a84635cb-05fd-4951-be74-6104372dac95,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,3fb643ca-3e93-40ed-850f-bf9e2372b859,tif,hand_dem
a99611bc-44ac-400d-9ad0-a30774e2c60d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,,tif,hand_dem
aea1ce0b-53d1-4721-bb2f-eff33b68697b,https://w3id.org/wings/export/MINT#MODFLOWoc,oc,Output control file,4,0,,dat,
b1c0f5f4-1166-438d-b84c-18b716f62bee,https://w3id.org/wings/export/MINT#MODFLOWsip,sip,Strongly Implicit Procedure package file,9,0,,dat,
b7189deb-0603-4da8-be76-b1d1665f7cd9,https://w3id.org/wings/export/MINT#MODFLOWhfb6,hfb6,Horizontal flow barrier file,8,0,,hf6,
b75c4576-cd80-438d-9bcf-79c47affb9f5,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,4595028d-4272-4bd8-a64e-c3b7065c18c8,tif,hand_dem
b9fc83ca-c181-40d2-ac17-19d439a08c01,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,83a18ae9-ed5f-4ef9-8000-ca37a4a63ee3,tif,hand_dem
bafa8422-c6df-49c2-91b0-71474c867a0b,https://w3id.org/wings/export/MINT#MODFLOWbcf6,bcf6,Block centered flow package file,3,0,,bc6,modflow2005_sf1;modflow2005_hy;modflow2005_sf2;modflow2005_vcont;modflow2005_tran;modflow2005_trpy
bea48d4d-0695-4a05-a893-d548db4a78d3,https://w3id.org/wings/export/MINT#MODFLOWsip,sip,Strongly Implicit Procedure package file,9,0,,dat,
c19fea1a-d4f6-45d7-a8cc-8aff22595de7,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,,tif,hand_dem
c4910057-a2c9-48f1-82d7-b23b58a074cc,https://w3id.org/wings/export/MINT#MODFLOWwel,wel,Well file,5,0,,dat,modflow2005_q
c4da2a10-2c10-4544-a00e-a16c6216bded,https://w3id.org/wings/export/MINT#MODFLOWdis,dis,Discretization file,2,0,,dis,modflow2005_ncol;modflow2005_nlay;modflow2005_perlen;modflow2005_nstp;modflow2005_tsmult;modflow2005_nrow;modflow2005_top;modflow2005_delr;modflow2005_delc;modflow2005_botm;modflow2005_nper
c720cfd5-2fb1-41ee-9aba-1a7419d503d9,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,,tif,hand_dem
c7b44aab-7650-44af-964d-096a1ee4ac19,https://w3id.org/wings/export/MINT#MODFLOWdrn,drn,Drain package file,6,0,,dat,
cfb2e3a1-6d21-4b5a-9c79-7ee1e3bf01dc,https://w3id.org/wings/export/MINT#MODFLOWrch,rch,Recharge file,7,0,,dat,modflow2005_rech
climcomp_FLDAS_P,https://w3id.org/wings/export/MINT#FLDAS,weather,FLDAS weather data,1,0,,netcdf,fldas_SoilTemp00_10cm_t;fldas_SoilTemp100_200cm;fldas_SoilMoi00_10cm_ta;fldas_Lwnet_tavg;fldas_Qs_tavg;fldas_Rainf_f_tavg;fldas_SoilMoi40_100cm_t;fldas_SWdown_f_tavg;fldas_SoilTemp40_100cm_;fldas_SM01_Percentile;fldas_SoilMoi10_40cm_ta;fldas_RadT_tavg;fldas_Swnet_tavg;fldas_Wind_f_tavg;fldas_Qle_tavg;fldas_Qh_tavg;fldas_Qair_f_tavg;fldas_SoilTemp10_40cm_t;fldas_SoilMoi100_200cm_;fldas_Qg_tavg;fldas_Psurf_f_tavg;fldas_LWdown_f_tavg;fldas_Qsb_tavg;fldas_Evap_tavg;fldas_Tair_f_tavg
climcomp_FLDAS_T,https://w3id.org/wings/export/MINT#FLDAS,weather,FLDAS weather data,1,0,,netcdf,fldas_SoilTemp00_10cm_t;fldas_SoilTemp100_200cm;fldas_SoilMoi00_10cm_ta;fldas_Lwnet_tavg;fldas_Qs_tavg;fldas_Rainf_f_tavg;fldas_SoilMoi40_100cm_t;fldas_SWdown_f_tavg;fldas_SoilTemp40_100cm_;fldas_SM01_Percentile;fldas_SoilMoi10_40cm_ta;fldas_RadT_tavg;fldas_Swnet_tavg;fldas_Wind_f_tavg;fldas_Qle_tavg;fldas_Qh_tavg;fldas_Qair_f_tavg;fldas_SoilTemp10_40cm_t;fldas_SoilMoi100_200cm_;fldas_Qg_tavg;fldas_Psurf_f_tavg;fldas_LWdown_f_tavg;fldas_Qsb_tavg;fldas_Evap_tavg;fldas_Tair_f_tavg
climcomp_P_climatology,https://w3id.org/wings/export/MINT#ClimcompClimatology,climatology,Precipitation output from climcomp,2,0,,csv,climcomp_P
climcomp_P_summary,https://w3id.org/wings/export/MINT#ClimcompSummary,summary,Precipitation output from climcomp,1,0,,csv,climcomp_P
climcomp_T_climatology,,,,,,,,
climcomp_T_summary,https://w3id.org/wings/export/MINT#ClimcompSummary,summary,temperature output to climcomp,1,0,,csv,climcomp_T
crop_yield_merged,https://w3id.org/wings/export/MINT#CropYield,crop_yield_merged,Crop yield merged,,0,,csv,econ_ybarN
crop_yields,https://w3id.org/wings/export/MINT#CropYield,crop_yields,Crop yield,,1,,csv,econ_ybarN
cycles-0.10.2-alpha-collection-oromia-single-point_crop,https://w3id.org/wings/export/MINT#CyclesCropOutput,cycles_crop,Cycles crop output file,3,0,,dat,cycles_root_biomass;cycles_total_n;cycles_crop_v;cycles_root_n;cycles_potential_tr;cycles_date;cycles_cum._biomass;cycles_thermal_time;cycles_n_fixation;cycles_n_stress;cycles_frac_intercep;cycles_stage;cycles_ag_n_concn;cycles_n_added;cycles_water_stress;cycles_ag_biomass;cycles_ag_n
cycles-0.10.2-alpha-collection-oromia-single-point_crops,https://w3id.org/wings/export/MINT#CyclesCrops,cycles_crops,The crop description file defines physiological and management parameters that control the growth and harvest of crops used in the simulation. Each crop used in the simulation must have an entry in the crop description file. Each crop entry begins with the keyword tag NAME.,2,0,cycles_crops_resource_oromia,crop,cycles_flowering_tt;cycles_standing_residue_at_harvest;cycles_minimum_harvest_index;cycles_name;cycles_lwp_stress_onset;cycles_crop_harvest_index;cycles_harvest_timing;cycles_clipping_biomass_threshold_lower;cycles_thermal_time_to_emergence;cycles_annual;cycles_min_temperature_for_cold_damage;cycles_threshold_temperature_for_transpiration;cycles_maximum_rooting_depth;cycles_maturity_tt;cycles_base_temperature_for_development;cycles_legume;cycles_transpiration_use_efficiency;cycles_kc;cycles_final_partitioning_to_shoot;cycles_c3;cycles_max_temperature_for_development;cycles_n_dilution_slope;cycles_residue_removed;cycles_initial_partitioning_to_shoot;cycles_threshold_temperature_for_cold_damage;cycles_maximum_harvest_index;cycles_optimum_temperature_for_development;cycles_min_temperature_for_transpiration;cycles_clipping_biomass_threshold_upper;cycles_radiation_use_efficiency;cycles_n_max_concentration;cycles_harvest_biomass_destiny;cycles_lwp_wilting_point;cycles_transpiration_max;cycles_maximum_soil_coverage
cycles-0.10.2-alpha-collection-oromia-single-point_nitrogen,https://w3id.org/wings/export/MINT#CyclesNitrogen,cycles_nitrogen,"Nitrogen file. Results in this file are for the sum of all layers in the soil profile, including surface residues.",4,0,,dat,cycles_date;cycles_no3_denitrif;cycles_mineralization;cycles_nh4_leaching;cycles_no3_leaching;cycles_n2o_from_denit;cycles_org_soil_n;cycles_n2o_from_nitrif;cycles_net_mineraliz;cycles_nh4_nitrificat;cycles_nh4_volatiliz;cycles_immobilization;cycles_prof_soil_no3;cycles_prof_soil_nh4
cycles-0.10.2-alpha-collection-oromia-single-point_outputs,https://w3id.org/wings/export/MINT#CyclesOutputs,cycles_outputs,Cycles season configuration file,9,0,,txt,
cycles-0.10.2-alpha-collection-oromia-single-point_season,https://w3id.org/wings/export/MINT#CyclesSeason,cycles_season,The season.dat file provides information about each crop harvest.,5,0,,dat,cycles_total_biomass;cycles_grain_n;cycles_n_in_harvest;cycles_root_biomass;cycles_forage_n;cycles_total_n;cycles_forage_yield;cycles_n_in_residue;cycles_grain_yield;cycles_cum._n_stress;cycles_actual_tr;cycles_n_concn_forage;cycles_crop_v;cycles_root_n;cycles_ag_residue;cycles_soil_evapr;cycles_potential_tr;cycles_harvest_index;cycles_date
cycles-0.10.2-alpha-collection-oromia-single-point_soilProfile,https://w3id.org/wings/export/MINT#CyclesAnnualSoilProfile,cycles_soilProfile,"Results in this file are for the sum of all layers in the soil profile, including surface residues",1,0,,dat,cycles_c_diff;cycles_root_biomass_in;cycles_init_c_mass;cycles_final_c;cycles_humified_c2;cycles_res_biomass_in;cycles_year;cycles_res_c_decomp;cycles_root_c_decomp;cycles_respired_c
cycles-0.10.2-alpha-collection-oromia-single-point_somF,https://w3id.org/wings/export/MINT#CyclesAnnualSOM,cycles_som,Cycles annual SOM file. This file provides annualized measurements of the carbon concentration and saturation ratio by soil layer. One column will be created for each layer in the soil profile for the variables where the column heading indicates LAYER 1..x,2,0,,dat,cycles_year;cycles_soil_c;cycles_bulk_density;cycles_c_sat._ratio;cycles_thickness
cycles-0.10.2-alpha-collection-oromia-single-point_summary,https://w3id.org/wings/export/MINT#CyclesSummary,cycles_summary,The summary file provides a summarized output of total C inputs over the duration of the simulation and average annual rates for N cycling processes.,6,0,,dat,cycles_avg_net_n_min;cycles_avg_gross_n_min;cycles_retained_res;cycles_res_c_input;cycles_final_prof_c;cycles_soil_c_chg/yr;cycles_init_prof_c;cycles_avg_no3_leach;cycles_avg_no3_denit;cycles_root_c_input;cycles_avg_nh3_volatil;cycles_prof_c_diff;cycles_avg_n2o_fr_deni;cycles_avg_n_immob;cycles_avg_n2o_fr_nit;cycles_avg_nh4_leach;cycles_produced_root;cycles_humified_c;cycles_resp_res_c;cycles_avg_tot_n2o_emi;cycles_avg_nh4_nitrif;cycles_resp_soil_c
cycles-0.10.2-alpha-collection-oromia-single-point_water,https://w3id.org/wings/export/MINT#CyclesWaterOutput,cycles_water,Cycles water file,8,0,,dat,cycles_date;cycles_transpiration;cycles_swc;cycles_irrigation;cycles_drainage;cycles_infiltration;cycles_snow_sub;cycles_runoff;cycles_soil_evap;cycles_plant_evap;cycles_res_evap
cycles-0.10.2-alpha-collection-oromia-single-point_weatherOutput,https://w3id.org/wings/export/MINT#CyclesWeatherOutput,cycles_weatherOutput,Cycles weather output file,7,0,,dat,cycles_date;cycles_reference_et;cycles_precipitation;cycles_max_tmp;cycles_avg_tmp;cycles_min_tmp
cycles-0.10.2-alpha-collection-oromia-single-point_weather_soil,https://w3id.org/wings/export/MINT#CyclesWeatherSoil,cycles_weather_soil,"Cycles zipped weather and soil description files. The weather files typically have a suffix of .weather, but any suffix or file naming convention can be used so long as the name of the weather file listed in the control file exactly matches the name of the weather file to be used in the input directory. Weather files contain three lines at the beginning with the keyword tags LATITUDE, ALTITUDE, and SCREENING_HEIGHT, each followed by a tab-delimited value. Altitude and screening height values should be entered in meters. Screening height is the height of the weather station instruments above the land surface. Following these three lines is a row of tab-delimited column headers in the order YEAR, DOY, PP, TX, TN, SOLAR, RHX, RHN, WIND. Soil files typically have a suffix of .soil, but any naming convention can be used as long as it matches the soil file name listed in the control file. The soil file starts with three lines at the beginning with the keyword tags CURVE_NUMBER, SLOPE, and TOTAL_LAYERS, with each keyword followed by a tab-delimited value.",1,0,cycles_weather_soil_oromia,zip,cycles_ws;cycles_pp;cycles_som;cycles_slope;cycles_hn;cycles_dz;cycles_rv;cycles_silt;cycles_bd;cycles_layer;cycles_clay;cycles_tn;cycles_smc;cycles_hx;cycles_tx;cycles_sr;cycles_cn
cycles-0.10.2-alpha-collection-oromia_crop,https://w3id.org/wings/export/MINT#CyclesCropOutput,cycles_crop,Cycles crop output file,3,0,,dat,cycles_root_biomass;cycles_total_n;cycles_crop_v;cycles_root_n;cycles_potential_tr;cycles_date;cycles_cum._biomass;cycles_thermal_time;cycles_n_fixation;cycles_n_stress;cycles_frac_intercep;cycles_stage;cycles_ag_n_concn;cycles_n_added;cycles_water_stress;cycles_ag_biomass;cycles_ag_n
cycles-0.10.2-alpha-collection-oromia_crops,https://w3id.org/wings/export/MINT#CyclesCrops,cycles_crops,The crop description file defines physiological and management parameters that control the growth and harvest of crops used in the simulation. Each crop used in the simulation must have an entry in the crop description file. Each crop entry begins with the keyword tag NAME.,2,0,cycles_crops_resource_oromia,crop,cycles_flowering_tt;cycles_standing_residue_at_harvest;cycles_minimum_harvest_index;cycles_name;cycles_lwp_stress_onset;cycles_crop_harvest_index;cycles_harvest_timing;cycles_clipping_biomass_threshold_lower;cycles_thermal_time_to_emergence;cycles_annual;cycles_min_temperature_for_cold_damage;cycles_threshold_temperature_for_transpiration;cycles_maximum_rooting_depth;cycles_maturity_tt;cycles_base_temperature_for_development;cycles_legume;cycles_transpiration_use_efficiency;cycles_kc;cycles_final_partitioning_to_shoot;cycles_c3;cycles_max_temperature_for_development;cycles_n_dilution_slope;cycles_residue_removed;cycles_initial_partitioning_to_shoot;cycles_threshold_temperature_for_cold_damage;cycles_maximum_harvest_index;cycles_optimum_temperature_for_development;cycles_min_temperature_for_transpiration;cycles_clipping_biomass_threshold_upper;cycles_radiation_use_efficiency;cycles_n_max_concentration;cycles_harvest_biomass_destiny;cycles_lwp_wilting_point;cycles_transpiration_max;cycles_maximum_soil_coverage
cycles-0.10.2-alpha-collection-oromia_nitrogen,https://w3id.org/wings/export/MINT#CyclesNitrogen,cycles_nitrogen,"Nitrogen file. Results in this file are for the sum of all layers in the soil profile, including surface residues.",4,0,,dat,cycles_date;cycles_no3_denitrif;cycles_mineralization;cycles_nh4_leaching;cycles_no3_leaching;cycles_n2o_from_denit;cycles_org_soil_n;cycles_n2o_from_nitrif;cycles_net_mineraliz;cycles_nh4_nitrificat;cycles_nh4_volatiliz;cycles_immobilization;cycles_prof_soil_no3;cycles_prof_soil_nh4
cycles-0.10.2-alpha-collection-oromia_outputs,https://w3id.org/wings/export/MINT#CyclesOutputs,cycles_outputs,Cycles season configuration file,9,0,,txt,
cycles-0.10.2-alpha-collection-oromia_season,https://w3id.org/wings/export/MINT#CyclesSeason,cycles_season,The season.dat file provides information about each crop harvest.,5,0,,dat,cycles_total_biomass;cycles_grain_n;cycles_n_in_harvest;cycles_root_biomass;cycles_forage_n;cycles_total_n;cycles_forage_yield;cycles_n_in_residue;cycles_grain_yield;cycles_cum._n_stress;cycles_actual_tr;cycles_n_concn_forage;cycles_crop_v;cycles_root_n;cycles_ag_residue;cycles_soil_evapr;cycles_potential_tr;cycles_harvest_index;cycles_date
cycles-0.10.2-alpha-collection-oromia_soilProfile,https://w3id.org/wings/export/MINT#CyclesAnnualSoilProfile,cycles_soilProfile,"Results in this file are for the sum of all layers in the soil profile, including surface residues",1,0,,dat,cycles_c_diff;cycles_root_biomass_in;cycles_init_c_mass;cycles_final_c;cycles_humified_c2;cycles_res_biomass_in;cycles_year;cycles_res_c_decomp;cycles_root_c_decomp;cycles_respired_c
