https://w3id.org/okn/o/sd#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sd#hasLongName,https://w3id.org/okn/o/sd#hasShortName,https://w3id.org/okn/o/sd#hasStandardVariable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sdm#influences,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#hasCanonicalName,https://w3id.org/okn/o/sd#hasDefaultValue
cycles_actual_tr,ACTUAL TR,Actual water transpiration of the crop given soil moisture conditions in the simulation.,mm,,ACTUAL TR,crop_water__time_integral_of_transpiration_volume_flux,,,,,,
cycles_ag_biomass,AG BIOMASS,Aboveground dry biomass.,Mg ha-1,,AG BIOMASS,ground~above_crop_biomass~dry__mass-per-area_density,,,,,,
cycles_ag_n,AG N,Aboveground biomass N content.,kg ha-1,,AG N,ground~above_crop_nitrogen__mass-per-area_density,,,,,,
cycles_ag_n_concn,AG N CONCN,Aboveground biomass N concentration.,g kg-1,,AG N CONCN,ground~above_crop_nitrogen__mass_fraction,,,,,,
cycles_ag_residue,AG RESIDUE,Aboveground residue biomass left in the field at harvest.,Mg ha-1,,AG RESIDUE,ground~above_residue~remaining_at-harvest__mass-per-area_density,,,,,,
cycles_annual,ANNUAL,Whether the crop is annual (value = 1) or perennial (value = 0).,,,ANNUAL,,,,,,,
cycles_avg_gross_n_min,AVG GROSS N MIN,Average gross N mineralization rate over the duration of the simulation.,kg/yr,,AVG GROSS N MIN,nitrogen__average_of_gross_mass_mineralization_rate,,,,,,
cycles_avg_n2o_fr_deni,AVG N2O FR DENI,Average nitrous oxide emission rate from denitrification over the duration of the simulation.,kg/yr,,AVG N2O FR DENI,soil_nitrous-oxide-as-nitrogen__average_of_denitrification_mass_emission_rate,,,,,,
cycles_avg_n2o_fr_nit,AVG N2O FR NIT,Average nitrous oxide emission rate from nitrification over the duration of the simulation.,kg/yr,,AVG N2O FR NIT,soil_nitrous-oxide-as-nitrogen__average_of_nitrification_mass_emission_rate,,,,,,
cycles_avg_n_immob,AVG N IMMOB,Average gross N immobilization rate over the duration of the simulation.,kg/yr,,AVG N IMMOB,nitrogen__average_of_gross_mass_immobilization_rate,,,,,,
cycles_avg_net_n_min,AVG NET N MIN,Average net N mineralization rate over the duration of the simulation.,kg/yr,,AVG NET N MIN,nitrogen__average_of_net_mass_mineralization_rate,,,,,,
cycles_avg_nh3_volatil,AVG NH3 VOLATIL,Average ammonia volatilization rate over the duration of the experiment.,kg/yr,,AVG NH3 VOLATIL,ammonia-as-nitrogen__average_of_mass_volatilization_rate,,,,,,
cycles_avg_nh4_leach,AVG NH4 LEACH,Average ammonium leaching rate over the duration of the simulation.,kg/yr,,AVG NH4 LEACH,ammonium-as-nitrogen__average_of_mass_leaching_rate,,,,,,
cycles_avg_nh4_nitrif,AVG NH4 NITRIF,Average nitrification rate over the duration of the simulation.,kg/yr,,AVG NH4 NITRIF,soil_nitrogen__average_of_mass_nitrification_rate,,,,,,
cycles_avg_no3_denit,AVG NO3 DENIT,Average denitrification rate over the duration of the simulation.,kg/yr,,AVG NO3 DENIT,soil_nitrogen__average_of_mass_denitrification_rate,,,,,,
cycles_avg_no3_leach,AVG NO3 LEACH,Average nitrate leaching rate over the duration of the simulation.,kg/yr,,AVG NO3 LEACH,nitrate-as-nitrogen__average_of_mass_leaching_rate,,,,,,
cycles_avg_tmp,AVG TMP,Average temperature.,degC,,AVG TMP,atmosphere_bottom_air__average_of_temperature,,,,,,
cycles_avg_tot_n2o_emi,AVG TOT N2O EMI,Average total nitrous oxide emissions over the duration of the simulation.,kg/yr,,AVG TOT N2O EMI,soil_nitrous-oxide-as-nitrogen__average_of_mass_emission_rate,,,,,,
cycles_base_temperature_for_development,BASE_TEMPERATURE_FOR_DEVELOPMENT,he base temperature (degree C) for phenological development and accumulation of thermal time. Air temperatures below this value will not add to cumulative thermal time. Air temperatures above this value and below OPTIMUM_TEMPERATURE_FOR_DEVELOPMENT will accumulate thermal time according to air temperature – BASE_TEMPERATURE_FOR_DEVELOPMENT.,degC,,BASE_TEMPERATURE_FOR_DEVELOPMENT,,,,,,,
cycles_bd,BD,Soil mass dry and wihtout rock divided by the sampled volume,Mg m-3,bulk density,BD,soil~no-rock~dry__mass-per-volume_density,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_bulk_density,BULK DENSITY,The bulk density of each soil layer.,Mg m-3,,BULK DENSITY,soil_layer__bulk_mass-per-volume_density,,,,,,
cycles_c3,C3,Whether the crop has a C3 photosynthetic pathway (value = 1) or a C4 pathway (value = 0).,,,C3,,,,,,,
cycles_c_diff,C DIFF,The change in the stabilized soil C pool size between the beginning and end of the year.,Mg/year,,C DIFF,soil_carbon_pool~stabilized_carbon__one-year_change_of_mass,,,,,,
cycles_c_sat._ratio,STAND. RESID. C:N,The C:N ratio of standing residue on the soil surface.,Cs Cx-1,,STAND. RESID. C:N,soil_surface_residue~standing_carbon-to-nitrogen__mass_ratio,,,,,,
cycles_clay,CLAY,clay particle size fraction size fraction of each soil layer in %.,%,clay percentage,CLAY,soil_clay_particle__volume_fraction,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_clipping_biomass_threshold_lower,CLIPPING_BIOMASS_THRESHOLD_LOWER,"The aboveground plant biomass threshold (in Mg/ha), which remains un-harvestable during clipping events. This value represents the mass of living plant biomass that would remain in the field after a clipping event with a RESIDUE_REMOVED value of 100.",Mg ha-1,,CLIPPING_BIOMASS_THRESHOLD_LOWER,,,,,,,
cycles_clipping_biomass_threshold_upper,CLIPPING_BIOMASS_THRESHOLD_UPPER,The aboveground plant biomass threshold (in Mg/ha) that will trigger a clipping event or forage harvest.,Mg ha-1,,CLIPPING_BIOMASS_THRESHOLD_UPPER,,,,,,,
cycles_cn,CURVE_NUMBER,A number that describes the soil disposition towards runoff (100 = all runoff) NRCS method adapted to field models,,soil curve number,CURVE_NUMBER,land_surface_water__usdanrcs_runoff_curve_number,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_crop_harvest_index,HARVEST_INDEX,"A coefficient (Hk), used in the calculation of actual harvest index. The actual harvest index is calculated based on the proportion of aboveground crop biomass growth occurring post-anthesis relative to total aboveground growth over the entire duration of crop development (fG) as follows:

HI actual = Hx - (Hx - Hn) * exp(-Hk * fG).

A quick estimate is k = (1 - Hn) / (Hx - Hn) (never above this value).",,,HARVEST_INDEX,,,,,,,
cycles_crop_name,CROP_NAME,Name of the crop used in the simulation,,crop name,CROP_NAME,crop__name,http://www.geoscienceontology.org/geo-upper#Variable;https://w3id.org/okn/o/sd#Variable,,,,,
cycles_crop_v,CROP,The crop name.,,,CROP,crop__name,,,,,,
cycles_cum._biomass,CUM. BIOMASS,The cumulative total crop biomass; sum of aboveground and roots.,Mg ha-1,,CUM. BIOMASS,crop_biomass__mass-per-area_density,,,,,,
cycles_cum._n_stress,CUM. N STRESS,Cumulative N stress over the duration of crop growth; calculated as the sum of each daily N stress weighted by the daily fraction of thermal time accumulated to maturity.,,,CUM. N STRESS,crop_nitrogen__thermal-time-to-maturity_weighted_stress_fraction,,,,,,
cycles_date,DATE,Calendar date in the simulation.,date,,DATE,,,,,,,
cycles_doy,DOY,Calendar day from 1 to 366,,day of the year,DOY,crop__planting_start_time,,,365,0,,
cycles_drainage,DRAINAGE,Water drainage from the bottom of the soil profile.,mm day-1,,DRAINAGE,soil_profile_bottom_water__drainage_volume_flux,,,,,,
cycles_dz,DZ,Soil layer thickness,m,soil layer thickness,DZ,soil_layer__thickness,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_end_doy,END_DOY,The last numerical day of the year (0 to 365 or 366) on which the planting operation is to be performed when conditional planting is activated.,,end day of the year,END_DOY,model__simulation_end_time,http://www.geoscienceontology.org/geo-upper#Variable;https://w3id.org/okn/o/sd#Variable,,365,0,,
cycles_end_year,SIMULATION_END_YEAR,The year to start the simulation. All simulations start on January 1 of the given year. There must be records in the weather file starting from January 1 of this year,year,simulation end year,SIMULATION_END_YEAR,model__simulation_end_time,http://www.geoscienceontology.org/geo-upper#Variable;https://w3id.org/okn/o/sd#Variable,,,,,
cycles_final_c,FINAL C,The pool size of stabilized soil C at the end of the year.,Mg/year,,FINAL C,soil_carbon_pool~stabilized_carbon__year-end_mass,,,,,,
cycles_final_partitioning_to_shoot,FINAL_PARTITIONING_TO_SHOOT,The fraction of growth partitioned to aboveground biomass (as opposed to roots) at the end of crop phenological development (physiological maturity). Values can range from 0 to 1. Perennials have lower values than annuals.,,,FINAL_PARTITIONING_TO_SHOOT,,,,,,,
cycles_final_prof_c,FINAL PROF C,The C content in the stabilized soil C pool at the end of the simulation.,Mg,,FINAL PROF C,soil_carbon_pool~stabilized_carbon__final_mass,,,,,,
cycles_flowering_tt,FLOWERING_TT,"The thermal time to flowering, in growing degree C days, calculated using the base, optimum, and maximum temperatures for development listed in BASE_TEMPERATURE_FOR_DEVELOPMENT, OPTIMUM_TEMPERATURE_FOR_DEVELOPEMENT, and MAX_TEMPERATURE_FOR_DEVELOPMENT.",degC/day,,FLOWERING_TT,,,,,,,
cycles_forage_n,FORAGE N,Forage or removed residue N content at harvest.,Mg ha-1,,FORAGE N,forage-or-residue~removed_nitrogen_at-harvest__mass-per-area_yield,,,,,,
cycles_forage_yield,FORAGE YIELD,Forage yield or removed residue biomass at harvest.,Mg ha-1,,FORAGE YIELD,forage-or-residue~removed_at-harvest__mass-per-area_yield,,,,,,
cycles_frac_intercep,FRAC INTERCEP,The fraction of solar radiation intercepted by the crop canopy.,,,FRAC INTERCEP,crop_canopy_radiation~solar__interception_energy_flux_fraction,,,,,,
cycles_fraction,FRACTION,"The planting density (0 to 1), where 1 is a monoculture planting rate and < 1 indicates a proportionally reduced seeding rate. This feature allows for the planting of multiple species in a plant community at different initial densities.",,fraction,FRACTION,crop__planting_count-per-area_density_fraction,http://www.geoscienceontology.org/geo-upper#Variable;https://w3id.org/okn/o/sd#Variable,,,,,
cycles_grain_n,GRAIN N,Grain N content at harvest.,Mg ha-1,,GRAIN N,grain_nitrogen_at-harvest__mass-per-area_density,,,,,,
cycles_grain_yield,GRAIN YIELD,Grain yield removed from the field dry basis,Mg ha-1,grain yield,GRAIN YIELD,grain~dry__mass-per-area_yield,http://www.w3.org/2002/07/owl#Thing,,,,,
cycles_harvest_biomass_destiny,CLIPPING_BIOMASS_DESTINY,"This value controls the destiny of biomass cut by clipping events, with options of REMOVE, RETURN, or GRAZING. REMOVE will treat the clipped biomass as a harvested crop. RETURN will treat the clipped biomass as a residue returned to the soil surface, with the allocation to standing versus flattened residue pools controlled by the STANDING_RESIDUE_AT_HARVEST value. GRAZING will treat the clipped biomass as being consumed by livestock, with 50% of the carbon in clipped biomass returned to the soil surface manure C pool and 50% of the carbon respired by livestock as CO2, and with 50% of the nitrogen in clipped biomass returned to the soil surface in the manure N pool and 50% of the nitrogen returned as urine to the NH4+ pool of the first soil layer.",,,CLIPPING_BIOMASS_DESTINY,,,,,,,
cycles_harvest_index,HARVEST INDEX,Fraction of aboveground biomass harvested as grain.,Mg Mg-1,,HARVEST INDEX,ground~above_biomass~harvested_grain__mass_fraction,,,,,,
cycles_harvest_timing,HARVEST_TIMING,"The percent of thermal time to crop maturity that will trigger a clipping event or grain harvest. As an example, if HARVEST_TIMING is set to 90, and the MATURITY_TT is 1000, the crop will be clipped when the cumulative thermal time of crop development reaches 900 growing degree days. If the harvest timing is less than 100, the crop will be clipped as a forage and will continue to regrow. If the harvest timing is greater than 100, the crop will have reached physiological maturity and will be harvested as a grain crop and killed after harvested. A value of -999 can be entered to trigger a default value of 101, which will result in the crop being harvested for grain on the first day after it reaches physiological maturity.",%,,HARVEST_TIMING,,,,,,,
cycles_hn,RHn,relative humidity minimum,%,relative humidity minimum,RHn,atmosphere_air_water~vapor__min_of_relative_saturation,http://www.w3.org/2002/07/owl#Thing,cycles_soil_evapr;cycles_cropGrowth;cycles_transpiration;cycles_soil_evap,,,,
cycles_humified_c,HUMIFIED C,The total quantity of decomposed C added to microbial and soil C pools over the duration of the simulation.,Mg,,HUMIFIED C,soil_pool-and-pool~microbial_carbon~decomposed__addition_mass,,,,,,
cycles_humified_c2,HUMIFIED C,Quantity of decomposed C added to microbial and stabilized C pools.,Mg/year,,HUMIFIED C,soil_carbon_pool~microbial-and-stabilized_carbon~decomposed__mass_addition_rate,,,,,,
cycles_hx,RHx,relative humidity maximum,Pa Pa-1 x-100,relative humidity maximum,RHx,atmosphere_air_water~vapor__max_of_relative_saturation,http://www.w3.org/2002/07/owl#Thing,cycles_soil_evapr;cycles_cropGrowth;cycles_transpiration;cycles_soil_evap,,,,
cycles_immobilization,IMMOBILIZATION,Gross N immobilization in microbial biomass or stabilized soil organic N pools.,kg ha-1,,IMMOBILIZATION,biomass~microbial-or-soil_pool~organic~stabilized_nitrogen__gross_mass-per-area_immobilization_density,,,,,,
cycles_infiltration,INFILTRATION,Net infiltration into soil,m day-1,,INFILTRATION,soil_water__infiltration_volume_flux,http://www.w3.org/2002/07/owl#Thing,cycles_swc,,,soil_water__volume-per-area_infiltration,
cycles_init_c_mass,INIT C MASS,The pool size of stabilized soil C at the beginning of the year.,Mg/year,,INIT C MASS,soil_carbon_pool~stabilized_carbon__year-start_mass,,,,,,
cycles_init_prof_c,INIT PROF C,The C content in the stabilized soil C pool at the beginning of the simulation.,Mg,,INIT PROF C,soil_carbon_pool~stabilized_carbon__initial_mass,,,,,,
cycles_initial_partitioning_to_shoot,INITIAL_PARTITIONING_TO_SHOOT,The fraction of growth partitioned to aboveground biomass (as opposed to roots) at the beginning of crop phenological development (seedling emergence). Values can range from 0 to 1. Perennials have lower values than annuals.,,,INITIAL_PARTITIONING_TO_SHOOT,,,,,,,
cycles_irrigation,IRRIGATION,Water added as irrigation.,mm day-1,,IRRIGATION,soil_surface_water__irrigation_volume_flux,,,,,,
cycles_kc,KC,"The crop transpiration coefficient, used to convert reference evapotranspiration based on environmental conditions into crop transpiration.",,,KC,,,,,,,
cycles_layer,LAYER,Soil layer number from 1 to an integer that is user defined (or database defined),,soil layer number,LAYER,,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_legume,LEGUME,Whether the crop is a legume (value = 1) or a non-legume (value = 0).,,,LEGUME,,,,,,,
cycles_lwp_stress_onset,LWP_STRESS_ONSET,"The leaf water potential (J/kg) threshold for the onset of stress, below which stomatal closure begins, reducing transpiration rates.",J/kg,,LWP_STRESS_ONSET,,,,,,,
cycles_lwp_wilting_point,LWP_WILTING_POINT,"The leaf water potential (J/kg) at wilting point, where transpiration stops.",J/kg,,LWP_WILTING_POINT,,,,,,,
cycles_mass,MASS,The total mass of the input in kg/ha.,kg ha-1,mass,MASS,land_fertilizer__applied_mass,http://www.geoscienceontology.org/geo-upper#Variable;https://w3id.org/okn/o/sd#Variable,,,,,
cycles_maturity_tt,MATURITY_TT,The thermal time to maturity in growing degree C days.,degC/day,,MATURITY_TT,,,,,,,
cycles_max_temperature_for_development,MAX_TEMPERATURE_FOR_DEVELOPMENT,Air temperatures above this value (degree C) will not add to cumulative thermal time.,degC,,MAX_TEMPERATURE_FOR_DEVELOPMENT,,,,,,,
cycles_max_tmp,MAX TMP,Maximum temperature.,degC,,MAX TMP,atmosphere_bottom_air__max_of_temperature,,,,,,
cycles_maximum_harvest_index,MAXIMUM_HARVEST_INDEX,"The maximum harvest index possible (Hx), used in the calculation of actual harvest index described below. It is an asymptotic value that can be much higher than the actual maximum HI observed (e.g., 0.8 for corn). Use default values if needed.",,,MAXIMUM_HARVEST_INDEX,,,,,,,
cycles_maximum_rooting_depth,MAXIMUM_ROOTING_DEPTH,The maximum depth to which crop roots can grow in meters.,m,,MAXIMUM_ROOTING_DEPTH,,,,,,,
cycles_maximum_soil_coverage,MAXIMUM_SOIL_COVERAGE,"The maximum crop cover in % is a proxy for light interception potential given by row spacing and other features. This value can be set to less than 100% if the crop canopy does not have the potential to provide full cover, or if the crop is planted with a row spacing such that there will be bare ground present between crop rows (e.g., horticultural production or dry areas).",,,MAXIMUM_SOIL_COVERAGE,,,,,,,
cycles_min_temperature_for_cold_damage,MIN_TEMPERATURE_FOR_COLD_DAMAGE,"The minimum temperature (degree C) used in the calculation of the cold damage factor described below. If the daily minimum temperature is below this value, the cold damage factor is set to 0.99.",degC,,MIN_TEMPERATURE_FOR_COLD_DAMAGE,,,,,,,
cycles_min_temperature_for_transpiration,MIN_TEMPERATURE_FOR_TRANSPIRATION,"The air temperature (daily average, degree C) below which transpiration by the plant virtually ceases (transpiration is 1% of potential transpiration). This value can constrain crop growth at low temperatures because crop growth is calculated as the minimum of Transpiration Use Efficiency * Transpiration or Radiation Use Efficiency * Radiation Interception. Therefore, if transpiration does not occur, plant biomass accrual does not occur.",degC,,MIN_TEMPERATURE_FOR_TRANSPIRATION,,,,,,,
cycles_min_tmp,MIN TMP,Minimum temperature.,degC,,MIN TMP,atmosphere_bottom_air__min_of_temperature,,,,,,
cycles_mineralization,MINERALIZATION,Gross N mineralization from all decomposing organic substrates.,kg ha-1,,MINERALIZATION,substrates~organic_nitrogen__gross_decomposition_mass-per-area_mineralization_density,http://www.w3.org/2002/07/owl#Thing,cycles_avg_no3_leach;cycles_avg_nh4_leach;cycles_nh4_leaching;cycles_no3_leaching,,,,
cycles_minimum_harvest_index,MINIMUM_HARVEST_INDEX,"The minimum harvest index possible (Hn), used in the calculation of actual harvest index described below. It has some semblance to the fraction of water soluble carbohydrates at flowering or in the first week after flowering in grain crops. Values range from 0 to 0.3.",,,MINIMUM_HARVEST_INDEX,,,,0.3,0,,
cycles_n2o_from_denit,N2O FROM DENIT,Nitrous oxide emissions from denitrification.,kg ha-1,,N2O FROM DENIT,soil_nitrous-oxide-as-nitrogen__denitrification_mass-per-area_emission_density,,,,,,
cycles_n2o_from_nitrif,N2O FROM NITRIF,Nitrous oxide emissions from nitrification.,kg ha-1,,N2O FROM NITRIF,soil_nitrous-oxide-as-nitrogen__nitrification_mass-per-area_emission_density,,,,,,
cycles_n_added,N ADDED,Cumulative N added to crop biomass to sustain growth in autofertilize mode.,kg ha-1,,N ADDED,crop_biomass_nitrogen__mass-per-area_application_density,,,,,,
cycles_n_concn_forage,N CONCN FORAGE,The N concentration in forage or removed residues at harvest.,%,,N CONCN FORAGE,forage-or-residue~removed_nitrogen__mass_fraction,,,,,,
cycles_n_dilution_slope,N_DILUTION_SLOPE,"A parameter that controls the slope of the N dilution curve, which regulates crop N requirements as biomass accrues.",,,N_DILUTION_SLOPE,,,,,,,
cycles_n_fixation,N FIXATION,Cumulative N fixation by legume crops.,kg ha-1,,N FIXATION,crops~legume_nitrogen__mass-per-area_fixation_density,,,,,,
cycles_n_in_harvest,N IN HARVEST,N content in removed biomass; which is the sum of grain; forage; and/or removed residues.,kg ha-1,,N IN HARVEST,biomass~removed_nitrogen__mass-per-area_density,,,,,,
cycles_n_in_residue,N IN RESIDUE,N content in residues left in the field at harvest.,kg ha-1,,N IN RESIDUE,field_residue~remaining_nitrogen_at-harvest__mass-per-area_density,,,,,,
cycles_n_max_concentration,N_MAX_CONCENTRATION,"The maximum N concentration in crop tissue (g/g), a feature that regulates the N requirements for growth through the N dilution curve.",g/g,,N_MAX_CONCENTRATION,,,,,,,
cycles_n_stress,N STRESS,Daily N stress value of the crop.,%,,N STRESS,crop_nitrogen__daily_stress_fraction,http://www.w3.org/2002/07/owl#Thing,cycles_cropGrowth,,,,
cycles_name,NAME,"The name of the crop. This entry is used as the reference for crop management practices listed in the operation file, such as planting and harvesting.",,name,NAME,,,,,,,
cycles_net_mineraliz,NET MINERALIZ,Net N mineralization.,kg ha-1,,NET MINERALIZ,nitrogen__mass-per-area_mineralization_density,http://www.w3.org/2002/07/owl#Thing,cycles_avg_no3_leach;cycles_avg_nh4_leach;cycles_nh4_leaching;cycles_no3_leaching,,,,
cycles_nh4_leaching,NH4 LEACHING,Ammonium leaching in drainage water at the bottom of the soil profile.,kg ha-1,,NH4 LEACHING,soil_profile_bottom_water_ammonium__time_integral_of_drainage_leaching_mass_flux,,,,,,
cycles_nh4_nitrificat,NH4 NITRIFICAT,Nitrification of ammonium.,kg ha-1,,NH4 NITRIFICAT,ammonium-as-nitrogen__mass-per-area_nitrification_density,,,,,,
cycles_nh4_volatiliz,NH4 VOLATILIZ,Ammonia volatilization,kg ha-1,,NH4 VOLATILIZ,ammonia-as-nitrogen__mass-per-area_volatilization_density,,,,,,
cycles_no3_denitrif,NO3 DENITRIF,Denitrification of nitrate.,kg ha-1,,NO3 DENITRIF,nitrate-as-nitrogen__mass-per-area_denitrification_density,,,,,,
cycles_no3_leaching,NO3 LEACHING,Nitrate leaching in drainage water at the bottom of the soil profile.,kg ha-1,,NO3 LEACHING,soil_profile_bottom_water_nitrate__time_integral_of_drainage_leaching_mass_flux,,,,,,
cycles_optimum_temperature_for_development,OPTIMUM_TEMPERATURE_FOR_DEVELOPMENT,"When air temperatures are above this value (degree C) and below MAX_TEMPERATURE_FOR_DEVELOPMENT, the accumulation of thermal time is calculated as (MAX_TEMPERATURE_FOR_DEVELOPMENT – air temperature) / (MAX_TEMPERATURE_FOR_DEVELOPMENT - OPTIMUM_TEMPERATURE_FOR_DEVELOPMENT) * (OPTIMUM_TEMPERATURE_FOR_DEVELOPMENT – BASE_TEMPERATURE_FOR_DEVELOPMENT)",degC,,OPTIMUM_TEMPERATURE_FOR_DEVELOPMENT,,,,,,,
cycles_org_soil_n,ORG SOIL N,The sum of microbial biomass N and stabilized soil organic N pools.,kg ha-1,,ORG SOIL N,biomass~microbial-and-soil_pool~organic~stabilized-as-nitrogen__mass-per-area_density,,,,,,
cycles_plant_evap,PLANT EVAP,Evaporation from living plants,mm day-1,water evaporation from leaving plants,PLANT EVAP,plants~living_water__evaporation_volume_flux,,,,,,
