https://w3id.org/okn/o/sd#DataTransformation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#hasComponentLocation,https://w3id.org/okn/o/sd#hasOutput,https://w3id.org/okn/o/sd#hasParameter,https://w3id.org/okn/o/sd#hasSoftwareImage
5480b379-2d0f-40f3-911f-fcc6db9100fc,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,b0;b1;b2,113ea983-057b-4783-a651-d94f1607cab7;29af908f-6ad4-4708-bc02-e3020718e78d;300166ec-8496-442b-95c3-a5ad6dac3b67;50bb46e0-4af5-40c9-80ed-cd1f869b6482;5c5f59d7-15d6-429d-a735-31980c0bb5b5;77a734c7-3725-467e-a5c0-0dbe327216cd;8ece31e3-9908-40ff-9484-c3a0984cdf67;b4b8dee7-2ed5-45e3-96ab-abfb81668fbe,mosorio/topoflow_dt:20.7.6
6a967e60-ad30-4672-a42e-4b357612c212,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,1338257b-f0ce-4149-937f-1b35a3ee5595;7fb19faf-2f76-47c7-b094-32a0d80c0c63;c9e48579-5665-481e-8000-4f39dce278fc,067340a3-52eb-4186-9e18-f97847f3a2c1;09e64aef-517d-48b2-8067-64a1a066f71f;3017de9e-4bc7-4236-aeda-0e58079e6060;57f04723-7c14-467a-93bd-470b07e23b53;647902dd-e76e-4e7c-ae3d-086e612ce611;bac5951d-7ccd-473e-8bd5-7fb179035779;e33ec1f3-47ca-4f38-b566-7349e1328c7f;f1e2705b-24f0-42ca-924f-9f8029b4434e,mintproject/dt_dame:latest
6f71f64c-54ab-407b-a70a-fe488b611f0a,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,208bf0b2-e05b-46cc-be59-ac82949dd110;b228be12-b468-4318-abf9-89f462b40e0a;c8a8ee66-9c87-4155-b4bd-b2fe2822bafd,1549a2bb-4ea7-4da1-841c-06d75da78833;227cd9ac-ed0b-4fcf-b8c9-8ceb507eed97;54355d69-d936-4856-ba6a-15ccbc469ba4;835273d3-83c9-445e-b189-abbc18c13e26;a038fd3d-8a2f-4eda-884f-b8a18daf7c4a;a8eac99e-f69a-4e52-864c-b0ff69d64972;b49cab42-961a-4317-bde3-5dd065156d87;c5f50268-8686-41a0-aa2a-a8690096a7a1,mosorio/topoflow_dt:20.7.17
72578f9a-828b-49b5-a575-58d0c3d1e8e4,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,5519acce-f0f9-42e4-8195-ba2708c13177;b65d7780-b54b-45e6-adfa-52e5c45db31d;fd69f220-dbe0-43a4-a24e-212bee17c467,24357a55-c281-47e8-8b3f-3220cea66d0f;34cbca99-fc21-42f7-955f-21105150e21b;4b7a1cc5-bb66-4d05-b59b-29343850302e;7223bb4d-672b-4bef-825e-e80865d3ef35;8ce80929-1216-4303-ad4e-d5a50828ee3f;a641ea26-7c81-44ba-b98f-4927c9728737;b96c9981-b057-4bda-ae6c-be7b6cec46ed;f82ae732-0d85-445a-b6ec-9011f7d63c17,mintproject/dt_dame:latest
7e6b8db3-772e-408f-8084-281c33a86799,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,329608c3-edd0-42a3-ad92-14d09a72cc03;9b8b2548-087e-4422-9134-02adbaab77bd;ef099389-ba43-455a-9a5b-91cb6f39e302,10a5df5c-4731-43a3-b9d8-395cb7c77807;4007bc0c-7c7d-4321-b4ed-b971f1ccd5d6;48d3892f-3375-421d-91fc-76d253f5018a;5c37aeef-e133-40c5-8cf8-6d1d8d123895;79ea8019-c4be-4b68-b743-966c6150c1dd;d7c757de-f4a7-435d-bef1-8293be81c14e;dca0e110-8c0a-4c48-a50d-26abbc3c007e;efa656c5-339b-4934-8ddc-b726cfa8494c,mintproject/dt_dame:latest
85fb6f35-d392-47a9-afe5-f818350f17f0,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,415ac62d-ece0-4cd3-bfbd-d4c07fd28391;43db68b5-663d-4061-a070-6ede2b567289;ab86ddaa-8c45-4713-b66f-1572ac3622f1,0681dd95-0816-43ca-a6cf-9cd8946aa7d8;3c4ced5f-d49d-4ad2-bcda-0fbc81c73aca;3dea731f-d858-4044-a6da-6289ded19071;8eb87476-5ae1-421f-8807-226d83ad6ae1;98946c67-0621-446c-b8b7-1b088ac3d6de;ad150b83-5a6d-4c88-acf6-1c8b3a678bfc;cbdb3f88-9594-47a1-97d6-16b01cb6b257;d6dc198c-20f9-49a7-8879-b0296f7cf71c,mintproject/dt_dame:latest
918007b2-0ac6-40c9-9dcf-506caeab40cd,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,8a79f62f-df8d-415f-af6f-d2f65c5cfdb6;c21721ea-260f-46dd-a48a-8fdfdb031a4e;c31ca51e-3f19-4669-8c49-472d42f265f5,016055f4-c588-408e-81f4-fec99c9bf19b;0fcca860-33d9-44ce-b40f-b1bec8c2a248;9084e440-fb0e-4829-9b19-3caf427a53f7;9544536a-3ce1-4d17-b62f-3a1689fbf66b;b74e4b9d-a1bc-435f-a77f-9faa8ce2586e;bc00a6e0-ed6d-40a0-b595-3e3c7534fc02;ca3dd8ef-b09a-40fd-8e9d-9cf0aa9fe6b3;e0586ab8-e9c2-4860-b8ae-643efe783c66,mintproject/dt_dame:latest
960fee24-2e32-41c8-a93c-65b5798cd7a2,gldas_to_daily_average,https://raw.githubusercontent.com/sirspock/gldas_to_daily_average/master/mint_component.zip,ed7c2ab4-e3fe-4cbe-a4b6-cb2059872285,029fce7e-261a-4b2f-b446-73888a5ef3e6;3d29265e-7d4a-4adb-97f0-f51bf124657c;4a0f03ec-9709-46e9-8379-151dbe22847c;6285c495-6a54-46cb-b55f-f9a3c4a005aa;a124e735-a27d-4748-a0cd-47cfc055707e;d718fa76-1dc6-409a-85d7-300f4873e673;e9bc43ea-d86d-4194-964d-882ff6f1425c;f1fe43c4-5346-4f37-b7c4-33be2b543ecc,mosorio/gldas_to_daily_average:20.7.6
9670509a-0172-44f8-a1d5-de67a52aa6b5,gldas_to_daily_average,https://raw.githubusercontent.com/sirspock/gldas_to_daily_average/master/mint_component.zip,75a4dc8f-c6c2-43bd-94ab-c539b5d1081b,12edccd9-afd4-4657-a9e9-6e902e6c2fd2;370a83b7-4310-4f7c-9405-5f39e0fea5fb;4ed26913-3893-4d5a-97dc-430b41c90809;7eb60824-df97-4227-90d8-5ab34d69e871;87f31a07-eed4-4671-9a5e-157b589072e6;c6c50458-35d7-404e-a3a1-d06006ba4a33;e8fb2602-98d4-46fb-9326-d42d67ba2d36;f473f369-e164-4b3b-9c64-72fe88c22ad5,mosorio/gldas_to_daily_average:20.7.4
9ad5c457-ab60-4dd3-8b1a-2d7c76892172,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,659fce6d-a35b-4bf2-80f9-c2db15e2ea54;9b1f7c57-f15d-4ec4-a937-533aa02969a0;f8be9a54-17bd-488f-be1e-e8e089c44adc,06878229-9bc7-4a5f-a4ab-a80a3bfc2f1d;27e0e81f-68f2-4653-b661-a99b1bbc043b;3900f62a-af0e-4f5e-a448-1623d3fd1e87;543acd1f-8272-4705-b5a1-037c17fcb91f;62f03268-742d-4832-9393-a491e7a2892d;6935dac1-44af-4ce6-8a57-be42ad5743ec;6960858d-98fe-4f79-9449-a2e3f89bf446;d8d3abbf-179a-46d6-b484-9fe045a5109d,mintproject/dt_dame:latest
9cf22f70-6c7f-4279-8a44-7ed26379ff54,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,3f976a31-7341-45be-94fb-32920adafea9;4859de7d-0018-4aba-9193-b657146208fb;616aca7c-419a-4340-ba29-ec7808667275,298f5db4-6abc-4303-aab0-246438bcaee7;2f8d1396-ecd2-4fa7-b2c7-b660b61c7a22;3e4645b4-b42f-4edf-95ce-cf3b8c65aa22;4ce81bb0-7f3f-4cf0-b876-6bcbdfcb297b;9d9962bc-f219-4da8-a5a9-ce36b5bbefde;a8b2beb3-2ac7-4ba8-a1f0-7367edc97c93;eb7bc4d3-7581-48cd-8896-b60b160e5a96;fc43bf52-f954-4749-b2ba-c33c2b556004,mintproject/dt_dame:latest
9d5d4f3d-1f8a-41e8-8217-c292218fa906,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,1a621384-9a92-4698-bfab-e11047022600;b96cdc58-bd42-450d-b827-9226b0994aeb;c1ca6781-9a1b-4131-89b6-eb505287fabf,039f0a85-6c61-4279-a9d4-89e450b3464f;4a13ebe3-21cc-447f-a6d8-691dd54b5f70;6cbc1e59-a22e-49dc-8fbc-3df7422e4267;97850da7-38e3-4f27-9534-5666038e5f6c;a402cc99-0842-497b-9583-6a178a405054;bdd89be5-8f3d-477a-ba59-aa15aa8f1230;d5deba1b-0c86-4ea5-b845-840151926585;fb2dc3c8-05ab-41c7-a096-ad6f4f14684d,mintproject/dt_dame
a1600625-f94c-4517-9d46-5f3080f76547,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,3a23b0e7-0ed1-4a18-b09d-8cec3543dfff;b732f9b5-36af-43a8-b7aa-7ed03eddaf42;c991a457-f754-437f-af9b-c8eeb88a86cc,043fd270-811e-4e18-875d-a14e65a5dbf1;225ced6f-921e-4a23-96d0-49d247fb36a7;64cebfe2-db1a-42e4-af76-2bd4cd75f8ed;9b8e509e-91be-400f-9ae2-f024425f2867;9ca05f2b-cdb9-4be9-972e-c2435fc92635;aa75ce04-a9f2-409a-8a6e-a51415d72d10;bfd074fb-7990-4150-9945-49967940529d;fb4f36a7-deff-4fae-83ac-b48287c2986e,mosorio/topoflow_dt:20.7.8
a6980282-a499-46a3-b440-461414834afe,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,4943b2e0-f4f1-4a77-a6e3-5ad223299f50;635af5c3-31ed-40df-b7c7-372569ceaf0d;cf403f49-30a5-4e89-b397-96f159acb036,0488ebb5-fb28-442e-b2a3-5fe46ea26aa4;04ef64d0-239e-4e29-823f-2b33cce0e38d;2eee3cf0-c602-4891-ac87-0122107bec69;8b068ea6-6f48-47b7-a85b-29a7c8f91629;a063eaa8-e94c-46fc-bc71-839ddaac7b55;b020beb3-209c-49e5-939d-3c1703cc390c;c2ccaf5d-6da7-48b8-ae0e-b5f7c8ca0d64;fcf825cf-ce98-4dbc-9922-5af1e3263152,mintproject/dt_dame:latest
a7824a09-8c4b-48f3-97a0-ff12501eaf71,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,1a215b09-0193-448b-ad60-6a4341ef9a97;30ccbe0d-5b74-42b0-8e24-1f9764d90507;41b936a7-2ca4-4f58-ad8f-00d8813a802e,0e2ee28b-e471-4f02-8b57-ec8094c7d668;36b095d9-6b4f-44b4-b3da-8c84d1256cc9;839f6ec0-986c-42ab-9106-b08782029364;b0c585b0-6863-48a3-adbd-b74aca5a0e5f;c813c7f1-c718-4500-bad7-5ccb8f3f616f;dd0ef171-d039-429b-98c3-4cc17dfef180;e53b2b4e-2303-43dd-86db-39b6cd9a39d3;f36052b4-d5f6-4910-bd8e-fee6b46f12cf,mintproject/dt_dame:latest
abd53900-59c9-4f0d-8cf0-28a016f9ce43,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,b0ae9ce0-dd87-476d-8dfa-4c9ea85eefa4;c580b664-c8bd-46d0-a85f-ec988ca134bf;d0ad4aad-4a86-464b-adba-72d3196ff057,1f4f5754-2583-4169-b04f-00d961cc8945;1fe0a044-3741-418c-8cb4-0015c52ae64a;22ec738d-bd7a-4373-ab37-9cbd556fbbd2;242cd0ad-7ab6-41ca-956d-05335be468e9;30a0c0b2-515a-4963-a07c-b835ccc0fa37;33388b20-0e94-4a41-b017-ddb31e367f12;97a001a8-f841-4101-a60e-f9155e7c83da;f9a93552-0775-4fca-bcaa-28aeab0f0a9f,mintproject/dt_dame:latest
b04cf1bd-6e16-4d26-a0bc-133c77735e47,gldas_to_daily_average,https://raw.githubusercontent.com/sirspock/gldas_to_daily_average/master/mint_component.zip,28623c1e-423e-4ae8-b11e-37925c5a8145,266ebb88-11e7-44f8-8fd1-3e37a2daaa0c;297cc280-7684-490a-8a2e-846041969a09;4ae653d7-5820-439a-8c07-dbe842b9bcf4;a13ccc4d-db52-4e4a-a48f-8e710f0cdc0c;a2f78f53-c45d-4e16-99c7-6c2aa98dc2ca;ab1a974f-8004-40e7-a430-0e66c8ba35d1;cfa60dfa-3cdd-4ee8-a6a8-a1714f9a3868;d9bb9ff2-f298-4cbd-a4fb-88c34a0cf843,mosorio/gldas_to_daily_average:20.7.11
be45383d-5d7d-4127-b89b-f7c1a391e773,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,612f55b6-cc9f-4b51-b651-f546be276da8;865bfa23-2a61-4b68-85da-527b160a4503;a4a9e655-0b24-469a-84c3-b6aa9ba0cfcc,111565f9-ab09-4a4d-8783-ccb983bc9007;1a101608-a9ed-4d7a-bd41-a33fad5f1146;48f0d9e7-05f6-41cc-9ba2-3d5c0493120e;99113ae8-eb01-4eda-b6a4-683289722105;a1ae08c0-638e-4b50-968c-0dcb32f81047;ae5f3b9f-6e3e-481c-a4c5-3241502d2cb5;d00910d4-1882-427f-855c-aa6f97093baf;e424a1be-ca79-4f5a-b402-bae18363b020,mintproject/dt_dame:latest
c7b61355-c1f9-45b5-b00c-8c9e507f4968,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,4dd21551-ff56-4a7d-96af-adf36ae0e986;6657dd47-c9af-4b75-962f-7427a2938491;b49c1fdf-81dc-4cec-b016-d8e5dfd90ff4,108c7843-dacd-44fa-bbba-561c140e14c7;1fc806a8-a463-4b4c-a918-9d052d534179;34f92e62-0356-425b-8676-8b28d1547361;5168696f-34e1-43c1-8453-8e0ff9f2abe3;5b6a032b-ac98-49af-bda9-4f7713dcd2a8;796c26a0-ed1b-4d06-91e1-be861d24ffa8;b0c257d9-d0b4-4c8c-b480-90de4a345436;d1d07226-509b-450b-8cfa-79cbf7b33413,mosorio/topoflow_dt:20.7.9
c88930e0-aec0-49b0-9729-16f3db85f474,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,40265af8-ab4e-47e6-985d-28d944a9b19b;5d1eb500-5a4a-4e9f-a73b-4ae85850b30a;a972b91f-dd6e-4c56-8833-43e2a8b44043,09b069dd-6cf2-4c88-9e80-fdf7af80d51a;20796657-ca47-48d4-a1b6-f972dd13f72c;23ee0ea1-0ff4-4d77-9f0c-fcacf0748590;27be4df4-8d8d-497c-a5a4-b8d09dd7fb7c;390fa3f7-71d9-4aa3-ad62-4c26d89f2e4f;bd11ff91-48dd-4876-a98f-c4437db8c3c5;dd88e056-4030-42b5-9422-a2f29bfa20f9;eeea1156-b98f-4d8d-b6c8-e6678ec43611,mintproject/dt_dame:latest
ca41f61b-f386-4feb-aef9-605a0f459904,topoflow_dt,,,,mintproject/dt_dame:latest
d378c96f-1526-4a5a-997e-82e6e51f2332,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,42de5a2c-0439-4eb6-857c-623cae6f91bc;998a63b7-e8f7-4ed4-b8fb-64d127443f36;c64b813c-e53d-4bc6-9d6f-ac7b5d81e56a,1b664cc9-6469-477d-a691-70b46342f046;1bc28ce5-efd3-4ba2-bef5-08680c1063d3;6e34ba11-2006-4862-9131-e781a55860c7;9be3d47f-97d6-4e79-8944-db22bbde8ccc;a60de1f9-9f41-483a-93cb-ad605dca1af8;b1173d27-2c2a-4e25-933f-ccfde9aa75f4;d301d7fd-ea12-4d38-915e-4e4705d96a5b;f84eff12-52ed-48d0-be61-94a9aa13d6c9,mintproject/dt_dame:latest
dd1fc6cb-5791-444c-9751-ed9135d0c024,topoflow_dt,,,,mintproject/dt_dame:latest
ee7d605d-8794-47cf-9e95-6a7114a1a1df,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,3083c6a8-a8a6-4c8e-b223-7b8ba778ebbb;644647ab-fecb-48e3-9ac9-093227b86d48;9fa2782b-e10a-4c74-bc5f-a4189194c636,29e361e9-5b62-4069-a794-c23694a8ab8f;3061a336-d190-4d66-99f9-a2cd20572de9;4ae497f4-0208-4e39-8c1e-85297ff39bc5;4e99cf86-0864-42c5-80e4-d89408cf7e87;571bf883-95eb-453d-965b-dc4e89b236c2;5d26f72e-c758-412e-85a0-45d7c2fcd391;7a528c2f-b8eb-4ae9-a9fc-c617425b3e19;fbf68646-c3ab-41ab-b5d5-1b25bc3bbc30,mintproject/dt_dame:latest
f54dbd34-b103-4fba-96e4-5fe0f05f3ca0,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,13601abb-914a-4f51-a71a-fd1388e594c2;164e7c50-d0de-4ee2-bd4b-a76245f5be0f;f55088cc-d5c6-4449-9be6-84b63c90352a,11458830-5813-4521-aeb9-ff73f50a1396;12e1d52a-759c-4393-9c76-642a37b8aacc;15d56e56-c139-462e-9de2-7d7e56192cae;5d86c037-4a37-41be-a2c4-a3ac0348d0cf;72bf6a63-c302-42f0-bded-bc3c22c6f617;b1d42f81-4750-4766-9093-33286c14c39b;b8691c95-26c7-4b75-8e16-d174ce9a81ea;dbb3cdd7-9320-49c9-9a6f-f273659de72f,mintproject/dt_dame
f645eb5b-dbf4-4c24-82db-8eb87db9911c,gldas_to_daily_average,https://raw.githubusercontent.com/sirspock/gldas_to_daily_average/master/mint_component.zip,a844fdeb-1086-487e-99d1-afb4624df52f,1b76a6c0-c38d-4ba8-a944-42a46664efe1;49687047-8b62-42f5-8ad9-91f725a91553;85dbfdba-33ad-40f2-846d-79fac5c61055;b72eb37d-d180-4f2c-87db-d44f17773d97;d746df54-ecc0-4cdb-9273-768ab08746f5;d8b7a43f-293d-407a-b72f-8a86976d4982;df0d6643-cc51-412f-838a-dc0d9146465c;ec139338-f24a-45a1-9a88-97423a453ab8,mosorio/gldas_to_daily_average:20.7.7
f771eec7-573f-4796-a657-7faaf7e8640c,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,0db78776-e9e0-499c-bc1b-82f852428210;5b4b0914-1a01-4805-864d-3d5dcdedd227;baef2085-c62c-4562-b049-003b2f30e83b,01391aa4-aedc-45ab-b16a-b2c6c4f0e733;0ce766cc-71be-4ac6-8f9b-d166d964b166;177f4d7f-e75f-44a3-b7fc-fb6507002d4a;62970f8a-42df-49c1-bc8a-4689ed8baeb8;86fe9451-9c33-4a79-bbae-d8cd5c78ffef;90e1ade7-c0d0-44a1-a246-4a7a7e556207;ef1c8a22-15ec-4f8e-b242-c76270d8f13a;fb9541ac-6aae-4ba5-a20a-c1ecb77a26c2,mosorio/topoflow_dt:20.7.5
