https://w3id.org/okn/o/sdm#ModelConfiguration,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#hasComponentLocation,https://w3id.org/okn/o/sd#hasImplementationScriptLocation,https://w3id.org/okn/o/sd#hasInput,https://w3id.org/okn/o/sd#hasOutput,https://w3id.org/okn/o/sd#hasSoftwareImage,https://w3id.org/okn/o/sd#hasBuildFile,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasUsageNotes,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#usefulForCalculatingIndex,https://w3id.org/okn/o/sdm#hasCausalDiagram,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sdm#hasOutputTimeInterval,https://w3id.org/okn/o/sdm#hasProcess,https://w3id.org/okn/o/sd#hasSetup,https://w3id.org/okn/o/sd#hasParameter,https://w3id.org/okn/o/sdm#hasRegion,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#tag,https://w3id.org/okn/o/sd#hasConstraint,https://w3id.org/okn/o/sd#hasSupportScriptLocation,https://w3id.org/okn/o/sd#hadPrimarySource,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#website
cycles-0.10.2-alpha-collection,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,Cycles configuration (v0.10.2) for grouped weather-soil files and exposing weed fraction and fertilizer rate,Cycles configuration (version 0.10.2) for grouped weather and soil files and exposing additional parameters such as weeds fraction and fertilizer rate,osorio_maximiliano,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles-0.10.2-alpha-collection/cycles-0.10.2-alpha-collection.zip,https://raw.githubusercontent.com/mintproject/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles-0.10.2-alpha-collection/src/run,cycles-0.10.2-alpha-collection_crops;cycles-0.10.2-alpha-collection_weather_soil,cycles-0.10.2-alpha-collection_somF;cycles-0.10.2-alpha-collection_crop;cycles-0.10.2-alpha-collection_weatherOutput;cycles-0.10.2-alpha-collection_nitrogen;cycles-0.10.2-alpha-collection_soilProfile;cycles-0.10.2-alpha-collection_season;cycles-0.10.2-alpha-collection_water;cycles-0.10.2-alpha-collection_outputs;cycles-0.10.2-alpha-collection_summary,mintproject/cycles:0.10.2-alpha,,source_cycles-0.10.2-alpha-collection,,agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,cycles-0.10.2-alpha-collection-oromia-single-point;cycles-0.10.2-alpha-collection-oromia,cycles-0.10.2-alpha-collection_weed_fraction;cycles-0.10.2-alpha-collection_use_forcing;cycles-0.10.2-alpha-collection_end_planting_day;cycles-0.10.2-alpha-collection_end_year;cycles-0.10.2-alpha-collection_start_year;cycles-0.10.2-alpha-collection_crop_name;cycles-0.10.2-alpha-collection_start_planting_day;cycles-0.10.2-alpha-collection_fertilizer_rate,,,,,,,,,,
cycles-0.9.4-alpha,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,Cycles configuration (v0.9.4) exposing weed fraction and fertilizer rate,Cycles configuration (version 0.9.4) exposing additional parameters such as weeds fraction and fertilizer rate,silva_rafael,https://github.com/mintproject/MINT-WorkflowDomain/blob/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/cycles-0.9.4-alpha.zip?raw=true,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/src/run,cycles-0.9.4-alpha_crops;cycles-0.9.4-alpha_soil;cycles-0.9.4-alpha_weather,cycles-0.9.4-alpha_water;cycles-0.9.4-alpha_somF;cycles-0.9.4-alpha_soilProfile;cycles-0.9.4-alpha_nitrogen;cycles-0.9.4-alpha_crop;cycles-0.9.4-alpha_outputs;cycles-0.9.4-alpha_summary;cycles-0.9.4-alpha_season;cycles-0.9.4-alpha_weatherOutput,mintproject/cycles:0.9.4-alpha,,source_cycles-0.9.4-alpha,,agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,cycles-0.9.4-alpha-advanced-ethiopia-multiple-points;cycles-0.9.4-alpha-advanced-ethiopia-weather;cycles-0.9.4-alpha-advanced-pongo;cycles-0.9.4-alpha-advanced-pongo-weather;cycles-0.9.4-alpha-simple-pongo;cycles-0.9.4-alpha-advanced-texas;cycles-0.9.4-alpha-advanced-pongo-multple-points;cycles-0.9.4-alpha-simple-texas;cycles-0.9.4-alpha-advanced-texas-weather;cycles-0.9.4-alpha-advanced-ethiopia,cycles-0.9.4-alpha_start_year;cycles-0.9.4-alpha_weed_fraction;cycles-0.9.4-alpha_end_year;cycles-0.9.4-alpha_use_forcing;cycles-0.9.4-alpha_start_planting_day;cycles-0.9.4-alpha_end_planting_day;cycles-0.9.4-alpha_crop_name;cycles-0.9.4-alpha_fertilizer_rate,,,,,,,,,,
cycles_multiple_points,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,Cycles configuration (v0.9.3) using multiple points,Cycles (version 0.9.3) configuration to run the model with multiple points,mayani_rajiv,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles_multiple_points/cycles_multiple_points.zip,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles_multiple_points/run,cycles_mp_reinit;cycles_mp_cropname;cycles_mp_weather;cycles_mp_percent_increase_fertilizer;cycles_mp_soil,cycles_mp_soilProfile;cycles_mp_crop;cycles_mp_nitrogen;cycles_mp_seasonConfig;cycles_mp_weatherOutput;cycles_mp_season;cycles_mp_somF;cycles_mp_summary;cycles_mp_water,mintproject/cycles:0.9.3-alpha,,source_cycles_config_mp,,agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,,cycles_mp_planting-day-2;cycles_mp_planting-day-1-duration;cycles_mp_planting-day-1;cycles_mp_planting-day-2-duration,,,,,,,,,,
d87447b7-5290-450b-9f5e-fdc98de5875a,,HLM Belle Plaine,"he HLM provides information about current and future streamflow conditions for over 1000 locations in Iowa, including small communities and stream gauge locations. ",,,,,,,,,,,,,,Hydrology,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0022169420301463
dsi_1.0_cfg,https://w3id.org/okn/o/sdm#EmpiricalModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,Drought indices model configuration,Simple configuration for the python routing to calculate SPI and SPEI,khider_deborah;garijo_daniel,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/dsi-1.0.0/dsi-1.0.0.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/dsi-1.0.0/src/run,dsi_1.0_cfg_dataset,dsi_1.0_cfg_movie;dsi_1.0_cfg_out,mintproject/droughtindices:latest,,source_dsi_comp,,climate; drought; index,standardized_precipitation_evapotranspiration_index;standardized_precipitation_index;potential_evapotranspiration,,,Weather,,,dsi_1.0_cfg_spi_ethiopia;a504065b-9c16-49c2-b24f-3bd349b158af,dsi_1.0_cfg_data_end_year;dsi_1.0_cfg_periodicity;dsi_1.0_cfg_index;dsi_1.0_cfg_data_type;dsi_1.0_cfg_generate_visualization;dsi_1.0_cfg_distribution;dsi_1.0_cfg_max_long;dsi_1.0_cfg_max_lat;dsi_1.0_cfg_scales;dsi_1.0_cfg_min_long;dsi_1.0_cfg_calibration_end_year;dsi_1.0_cfg_data_start_year;dsi_1.0_cfg_calibration_start_year;dsi_1.0_cfg_min_lat,,,,,,,,,,
dsi_1.2.0_cfg,https://w3id.org/okn/o/sdm#EmpiricalModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,Drought indices model configuration (v1.2.0),Simple configuration for the python routing to calculate a flood severity index,khider_deborah;garijo_daniel,https://github.com/khider/dsiv1.2.0/raw/master/mint_component.zip,https://github.com/khider/dsiv1.2.0/raw/master/src/run,dsi_1.2.0_cfg_dataset,dsi_1.2.0_cfg_out;dsi_1.2.0_cfg_movie,khider/dsiv1.2.0:20.11.1,,,,climate; drought; index,potential_evapotranspiration;standardized_precipitation_index;standardized_precipitation_evapotranspiration_index,,,Weather,,,dsi_1.2.0_cfg_gldas_ethiopia;dsi_1.2.0_cfg_ecmwf_ethiopia;dsi_1.2.0_cfg_chirps_ethiopia,dsi_1.2.0_cfg_index;dsi_1.2.0_cfg_distribution;dsi_1.2.0_cfg_scales;dsi_1.2.0_cfg_sim_start_year;dsi_1.2.0_cfg_sim_end_year;dsi_1.2.0_cfg_calib_start_year;dsi_1.2.0_cfg_global;dsi_1.2.0_cfg_min_long;dsi_1.2.0_cfg_calib_end_year;dsi_1.2.0_cfg_max_long;dsi_1.2.0_cfg_min_lat;dsi_1.2.0_cfg_max_lat;dsi_1.2.0_cfg_dataset_type,,,,,,,,,,
e6becd2c-29d1-482e-b94b-388cdc584e3a,,MODFLOW2005 WITH MT3Dv.1.1.0 for an aquifer recharge scenario,This model describes groundwater flow and contaminant transport within an aquifer under an artificial recharge scenario. This is meant as a scenario and doesn't represent a specific location.,khider_deborah;osorio_maximiliano;ddee0666-51b1-4682-b032-1eb574d57459,https://raw.githubusercontent.com/mintproject/aquifer/master/main_ERC.cwl,,5a513a74-df09-4ce2-a9ae-6d67a12dbf02;b2e32dff-6ba5-410b-826c-a14a4687e200;44b21347-8b6e-4dc7-8708-dd5f9c960dfd,1999606b-ec47-44a0-89a7-f35642eca247;9faf02f5-c6e2-4aef-9890-6cdd98dfd3af;3bd57161-5fab-4fa1-9f4b-ed6f608329c6;ff92fc09-e359-4a3e-98ff-7606a4f26e6a,mintproject/base-ubuntu18:latest,,,,"Groundwater flow, Contaminant flow",cdff38ed-9219-4f41-9e09-baba4127f328,,8ae58b4c-aba2-4452-a091-8d6d0b19fd07,Hydrology,,modflow_gwf;47f446d7-7dab-4bc3-97be-27224e9021f7,8cac141d-96f4-439b-8a15-247344cb2c32,ce8f4fd3-a88b-47bf-80e1-f49157810ee8;fd21cf17-f9b0-40d3-99b2-9ed2469c745f;63d103fc-e72a-474d-a906-68444f4f125a;652be273-81ee-4717-9936-d36c0473c925;d7d7d1cc-4d77-4e40-9a19-387ca799cf7a;62b45286-1623-4150-9006-0c84c5a858de,,,,,latest,,,,,https://github.com/mintproject/aquifer
economic-v2,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,Basic configuration of the economic aggregate crop supply model (EACS) v2,Aggregate crop supply response model for the country of South Sudan (version 2),mayani_rajiv,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v2/economic-v2.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v2/run,econ_v2_yield;econ_v2_subsidies;econ_v2_data;econ_v2_calib;econ_v2_sim,econ_v2_land_use,mintproject/economic:v2,,source_econ_config_v2,,economy; land use; crop production; fertilizer costs,,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,econ_grid,Economy,economic_aggregate_crop_supply_TI,crop_supply_process;fertilizer_prices_process;crop_prices_process;land_use_process;fertilizer_use_process;crop_yield_elasticity_process,,,Pongo_Basin_SS,khider_deborah;zhang_zeya,,,deprecated,,,,,
economic-v6,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,EACS basic configuration (v6),Aggregate crop supply response model for the country of South Sudan (version 6),mayani_rajiv,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6/economic-v6.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6/src/run,econ_v6_land;econ_v6_price;econ_v6_cycles_data;econ_v6_production_cost,econ_v6_land_use;econ_v6_calib_land_use,mintproject/economic:v5,,source_econ_config_v6,,economy; land use; crop production; fertilizer costs,,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,econ_grid,Economy,economic_aggregate_crop_supply_TI,constr_max_net_revenue_process,economic-v6_simple_pongo;economic-v6_advanced_pongo,econ_v6_cassava_crop_price_adjustment;econ_v6_sorghum_land_cost_adjustment;econ_v6_sorghum_crop_price_adjustment;econ_v6_sorghum_fertilizer_cost_adjustment;econ_v6_maize_land_cost_adjustment;econ_v6_cassava_fertilizer_cost_adjustment;econ_v6_groundnuts_fertilizer_cost_adjustment;econ_v6_maize_fertilizer_cost_adjustment;econ_v6_sesame_fertilizer_cost_adjustment;econ_v6_groundnuts_crop_price_adjustment;econ_v6_groundnuts_land_cost_adjustment;econ_v6_sesame_crop_price_adjustment;econ_v6_cassava_land_cost_adjustment;econ_v6_maize_crop_price_adjustment;econ_v6_sesame_land_cost_adjustment,Pongo_Basin_SS,khider_deborah;zhang_zeya,The model assumes that only one parameter will be adjusted at the same time,https://viz.mint.isi.edu/bokeh/econ_viz_live,,,,,,
economic-v6.1,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,EACS basic configuration (v6.1) for South Sudan,Aggregate crop supply response model for the country of South Sudan (version 6.1),mayani_rajiv,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1/economic-v6.1.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1/src/run,econ_v6.1_price;econ_v6.1_land;econ_v6.1_cycles_data;econ_v6.1_production_cost,econ_v6.1_calib_land_use;econ_v6.1_land_use,mintproject/economic:v5,,source_econ_config_v6.1,,economy; land use; crop production; fertilizer costs,,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,econ_grid,Economy,economic_aggregate_crop_supply_TI,constr_max_net_revenue_process,economic-v6.1_simple_pongo;economic-v6.1_advanced_pongo,econ_v6.1_cassava_land_cost_adjustment;econ_v6.1_cassava_crop_price_adjustment;econ_v6.1_sorghum_land_cost_adjustment;econ_v6.1_sorghum_crop_price_adjustment;econ_v6.1_maize_fertilizer_cost_adjustment;econ_v6.1_sesame_fertilizer_cost_adjustment;econ_v6.1_groundnuts_crop_price_adjustment;econ_v6.1_groundnuts_fertilizer_cost_adjustment;econ_v6.1_maize_land_cost_adjustment;econ_v6.1_sorghum_fertilizer_cost_adjustment;econ_v6.1_cassava_fertilizer_cost_adjustment;econ_v6.1_groundnuts_land_cost_adjustment;econ_v6.1_sesame_crop_price_adjustment;econ_v6.1_sesame_land_cost_adjustment;econ_v6.1_maize_crop_price_adjustment,Pongo_Basin_SS,khider_deborah;zhang_zeya,The model assumes that only one parameter will be adjusted at the same time,https://viz.mint.isi.edu/bokeh/econ_viz_live,,,,,,
economic-v6.1_single_crop,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,EACS configuration (v6.1) for a single crop (maize) in South Sudan,Aggregate crop supply response model (version 6.1) for the country of South Sudan including only maize,mayani_rajiv,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1_single_crop/economic-v6.1_single_crop.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1_single_crop/src/run,econ_v6.1_single_crop_cycles_data;econ_v6.1_single_crop_production_cost;econ_v6.1_single_crop_price;econ_v6.1_single_crop_land,econ_v6.1_single_crop_land_use;econ_v6.1_single_crop_single_crop_calib_land_use,mintproject/economic:v5,,source_econ_config_v6.1_single_crop,,economy; land use; crop production; fertilizer costs,,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,econ_grid,Economy,economic_aggregate_crop_supply_TI,constr_max_net_revenue_process,economic-v6.1_single_crop_pongo,econ_v6.1_single_crop_maize_land_cost_adjustment;econ_v6.1_single_crop_maize_fertilizer_cost_adjustment;econ_v6.1_single_crop_maize_crop_price_adjustment,Pongo_Basin_SS,khider_deborah;zhang_zeya,The model assumes that only one parameter will be adjusted at the same time,,,,,,,
economic-v7,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,EACS configuration (v7),"Aggregate crop supply response model (version 7). Based on the Agricultural Sample Survey reports (AgSS), from 2009-2018 (http://surveys.worldbank.org/lsms/programs/integrated-surveys-agriculture-ISA/ethiopia)
The price index still comes from the World Food Programme report.",mayani_rajiv,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v7/economic-v7.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v7/src/run,economic-v7_cycles-data;economic-v7_fertilizer;economic-v7_regional-data;economic-v7_fvar;economic-v7_lvar;economic-v7_eta,economic-v7_land_use;economic-v7_calib_land_use,mintproject/economic:v5,,source_econ_config_v7,,economy; land use; crop production; fertilizer costs,,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,econ_grid,Economy,economic_aggregate_crop_supply_TI,constr_max_net_revenue_process,economic-v7_Oromia,economic-v7_barley-fertilizer-cost-adjustment;economic-v7_sorghum-fertilizer-cost-adjustment;economic-v7_region;economic-v7_aggregate-fertilizer-supply-constraint;economic-v7_millet-crop-price-adjustment;economic-v7_wheat-fertilizer-cost-adjustment;economic-v7_maize-crop-price-adjustment;economic-v7_maize-fertilizer-cost-adjustment;economic-v7_millet-fertilizer-cost-adjustment;economic-v7_pulses-crop-price-adjustment;economic-v7_barley-crop-price-adjustment;economic-v7_sorghum-crop-price-adjustment;economic-v7_year;economic-v7_pulses-fertilizer-cost-adjustment;economic-v7_wheat-crop-price-adjustment;economic-v7_teff-fertilizer-cost-adjustment;economic-v7_teff-crop-price-adjustment,,khider_deborah;zhang_zeya,The model assumes that only one parameter will be adjusted at the same time,,,,,,,
economicGambella-v6.1,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,EACS configuration (v6.1) for Gambella,"Aggregate crop supply response model. Based on the Agricultural Sample Survey reports (AgSS), two crops are harvested in this region: maize and sorghum, so this model includes only 2 crops. Land use, production and yield level data comes from Agss report 2014 (http://surveys.worldbank.org/lsms/programs/integrated-surveys-agriculture-ISA/ethiopia)

The price index still comes from the World Food Programme report, which included Gambella and its own set of prices.

The Nitrogen application rate is set to a low value because farmers in Gambella utilize very low level of fertilizer.  
All other parameters, have been approximate based the South Sudan model calibration.",mayani_rajiv,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economicGambela-6.1.0/economicGambela-6.1.0.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economicGambela-6.1.0/src/run,economicGambella-v6.1_land;economicGambella-v6.1_production_cost;economicGambella-v6.1_price;economicGambella-v6.1_cycles_data,economicGambella-v6.1_land_use;economicGambella-v6.1_calib_land_use,mintproject/economic:v5,,source_econ_config_v6.1_gambella,,economy; land use; crop production; fertilizer costs,,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,econ_grid,Economy,economic_aggregate_crop_supply_TI,constr_max_net_revenue_process,economic-v6.1_Gambella_advanced_elasticities;economic-v6.1_Gambella_advanced,economicGambella-v6.1_maize_land_cost_adjustment;economicGambella-v6.1_sorghum_fertilizer_cost_adjustment;economicGambella-v6.1_maize_crop_price_adjustment;economicGambella-v6.1_sorghum_crop_price_adjustment;economicGambella-v6.1_maize_fertilizer_cost_adjustment;economicGambella-v6.1_sorghum_land_cost_adjustment,Gambella,khider_deborah;zhang_zeya,The model assumes that only one parameter will be adjusted at the same time,,,,,,,
fsi_1.0_simple,https://w3id.org/okn/o/sdm#EmpiricalModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,Flood severity index configuration,Simple configuration for the python routing to calculate a flood severity index,khider_deborah;garijo_daniel,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/fsi-1.0.0/fsi-1.0.0.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/fsi-1.0.0/src/run,fsi_1.0_simple_glofas,fsi_1.0_simple_movie;fsi_1.0_simple_out,mintproject/floodseverityindex:v1,,source_fsi_comp,,hydrology; flood; index,flood_severity_index,,fsi_grid,Hydrology,,,fsi_1.0_simple_et_ss,fsi_1.0_simple_max_lat;fsi_1.0_simple_min_lat;fsi_1.0_simple_max_long;fsi_1.0_simple_simulation_year;fsi_1.0_simple_min_long,,,,,,,,,,
hand_v1_simple,https://w3id.org/okn/o/sdm#EmpiricalModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,HAND model-simple configuration (v1),Simple configuration of the HAND model (v1) for creating flood estimates of a region. The output is an image with the distance down representing the flooding impact,garijo_daniel;hardesty_daniel,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/HAND-2.0.0/HAND-2.0.0.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/HAND-2.0.0/src/run,hand_v1_simple_input_dem,hand_v1_simple_distance_down_image;hand_v1_simple_distance_down,mintproject/hand:v2.1.0,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,,,relative height;flow path;drainage network;gravitational potential;normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,hand_v1_simple_travis;hand_v1_simple_baro;hand_v1_simple_bashilo;hand_v1_simple_awash;hand_v1_simple_guder;hand_v1_simple_beko-tippi;hand_v1_simple_muger;hand_v1_simple_shebelle;hand_v1_simple_ganale;hand_v1_simple_noregion;hand_v1_simple_jamma,hand_v1_simple_threshold,,,,,,,,,,
hand_v2,https://w3id.org/okn/o/sdm#EmpiricalModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,HAND model configuration (v2),Simple configuration of the HAND model (v2) for creating flood estimates of a region. The output is an image with the distance down representing the flooding impact,garijo_daniel;hardesty_daniel;osorio_maximiliano,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.0/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.0/hand_v2_mint_component/src/run,hand_v2_input_dem,hand_v2_shape;hand_v2_distance_down;hand_v2_geojson,mintproject/hand:v2.1.0,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,,,relative height;flow path;drainage network;gravitational potential;normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,hand_v2_noregion;hand_v2_muger;hand_v2_awash;hand_v2_shebelle;hand_v2_guder;6c075d93-352a-4381-865a-151a0e96c4ab;hand_v2_ganale;hand_v2_beko-tippi;hand_v2_baro;hand_v2_jamma;hand_v2_bashilo;hand_v2_travis,hand_v2_threshold,,,,,,,,,,
hand_v2_raster,https://w3id.org/okn/o/sdm#EmpiricalModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,HAND model configuration (v2) generating raster data,"Simple configuration of the HAND model (v2) for creating flood estimates of a region. The output is a raw image with the distance down representing the flooding impact (in geoJSON, shapefile and tif) and a raster simplifying the raw data",garijo_daniel;hardesty_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,hand_v2_raster_input_dem,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,mintproject/hand:v2.1.0,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,,,"relative height, flow path, drainage network, gravitational potential, normalization of topography",flooding_contour,,hand_grid,Hydrology,,hand_distance_down,ec3f1f59-216a-4ac3-9bc6-23dff0cdb434;677c434e-99e2-4113-a5c4-4160f10bbb9a;b8b58d5a-3901-4154-a1fe-6bf3e4c2be21;5e33859e-71ce-46e6-986d-93aa4a0befcb;a044daca-eb62-4ef9-b806-508e0cee27fa;d42dee74-17b6-4821-b18e-5af4f7e3754c;eba6afdc-c20b-44d6-ab63-702e9498699a;1727b1d9-e9d2-4a82-8c7c-188c8cf140b2;4268c4ae-6a91-476c-9f0d-57643cfab6ea;01ebfec2-a192-4c4b-a905-37aba583c31b;853e0986-f642-4035-aa4e-a8679123da90;433bc0ad-9751-4e79-9472-ddc156ef46e0;bc7179eb-bbcf-4042-963d-ef01fa331886;c2e5cb61-4535-4321-8be5-410437d361b8;b30b2366-22d3-451b-a431-b2adf7747260;cc2806c3-e541-4b1c-b827-6399cf5510fc;1d959fa7-c8c4-4a8a-8620-d535526979d3;e6fde32c-dbcb-4783-b2a2-04dd12d83f0b;e60cf1d0-11f8-454d-a48b-686612fdaf90;2ae2f420-dad6-4e3c-a533-77f5186f1898;82ad0c55-32ae-4697-a739-31446af6cb41,hand_v2_raster_threshold,,,,,preferred,,,,,
modflow_2005_cfg,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,MODFLOW 2005 configuration,MODFLOW 2005 configuration using variable recharge files,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/MODFLOW2005/MODFLOW2005.zip,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/MODFLOW2005/src/run,modflow_2005_Drn;modflow_2005_Well;modflow_2005_Dis;modflow_2005_Rech;modflow_2005_Sip;modflow_2005_Bas;modflow_2005_Hfb;modflow_2005_Oc;modflow_2005_Bcf,modflow_2005_ddown;modflow_2005_heads;modflow_2005_cbb;modflow_2005_list,mintproject/modflow2005:latest,,,,groundwater modeling; steady and nonsteady flow; areal recharge; evapotranspiration; flow to drains; flow through river beds,water_table_level_height;total_water_storage,,modflow_grid_general,Hydrology,modflow_general_TI,modflow_gwf,modflow_2005_BartonSprings_advanced;modflow_2005_BartonSprings_drought;modflow_2005_BartonSprings_avg,,,,,,,,,,,
