https://w3id.org/okn/o/sd#SoftwareVersion,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sd#hasConfiguration,https://w3id.org/okn/o/sd#hasVersionId,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#hasUsageNotes,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sd#tag,https://w3id.org/okn/o/sd#hasFunding,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#hasContactPerson,https://w3id.org/okn/o/sd#hasDocumentation,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasDownloadURL,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#citation,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sdm#hasExplanationDiagram
a5224a85-a259-40bd-88b2-9c1fdf277ea2,,GHOST-vX,,,,,,1813f422-8fc5-4e20-9948-1f83234d66fd;46fd5e0a-6819-4646-b468-9ba268364ccf;47aed31f-7b5a-4d8a-a496-86065b0b9a1a;bd33998b-a37e-4184-b017-2893fa5a30f3,unknown,,,,latest,,,,,,,,,,
a6862065-7a86-4b56-ae03-c5ac88c876d6,,MODFLOW with Farm Process and Texture Model Default,,7ada3329-1e8b-41f0-9a5a-bd4d31e59827,,"Hydrology, Agriculture, Geospatial Database, Texture Model, Farm Process, Numerical Model",,,unknown,,,,latest,,,,,,,,,,
cd1e357a-534f-4e47-8bb9-8d7789663ebf,,MODFLOW 2000 with Farm Process and Texture Model_DefaultVersion,"The CVHM helps to address water competition issues such as: - Conjunctive water use (interdependent use of surface water and groundwater) - Conservation of agricultural land - Land-use change, including environmental concerns and urbanization, and its effects on water resources - Effects of climate change.",7ada3329-1e8b-41f0-9a5a-bd4d31e59827,,"Hydrology, Agriculture, Geospatial Database, Texture Model, Farm Process, Numerical Model",,37d17ee0-0ce6-4095-9f32-90c1b33859f2,DefaultVersion,,Windows executables available,,latest,,,,,,,,,,
cycles_v0.10.2_alpha,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Cycles v0.10.2-alpha,Version 0.10.2 of Cycles allowing exposing multiple parameters,kemanian_armen;shi_yuning,,agriculture; cycles; crop growth; weather;soil;crop management,Agriculture,cycles-0.10.2-alpha-collection,0.10.2-alpha,,,,latest,,,,,,,,,,
cycles_v0.9.3_alpha,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Cycles v0.9.3 alpha,,kemanian_armen;shi_yuning,,agriculture; cycles; crop growth; weather;soil;crop management,Agriculture,cycles_multiple_points;cycles,0.9.3,,,,,,,,,,,,,,
cycles_v0.9.4_alpha,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Cycles v0.94-alpha,Version 0.9.4 of Cycles allowing exposing multiple parameters,kemanian_armen;shi_yuning,,agriculture; cycles; crop growth; weather;soil;crop management,Agriculture,cycles-0.9.4-alpha,0.9.4-alpha,,,,,,,,,,,,,,
dsi_1.0,https://w3id.org/okn/o/sdm#EmpiricalModel,DI v1,"This Python routine calculates three climate indices based on NetCDF input data from CHIRPS, GLDAS, and FLDAS:

    SPI: Standardized Precipitation Index, utilizing both gamma and Pearson Type III distributions. - CHIRPS, GLDAS, FLDAS
    SPEI: Standardized Precipitation Evapotranspiration Index, utilizing both gamma and Pearson Type III distributions. - GLDAS, FLDAS
    PET: Potential Evapotranspiration, utilizing Thornthwaite equation. - GLDAS, FLDAS

This package is based upon Climate Indices in Python. The Climate Indices in Python project contains implementations of various algorithms which provide a geographical and temporal picture of the severity of precipitation and temperature anomalies for climate monitoring and research.

This project builds upon this software package to include additional sources of climate data, namely GLDAS and CHIRPS.",khider_deborah,,climate; drought index,Weather,dsi_1.0_cfg,1,1/30/2020,Support for datasets from FLDAS and combined netcdf file. Visualization support for SPI and SPEI.,,latest,,,,,,,,,,
ebf38cd2-1fc8-4708-86cf-f6a300ff8307,,MODPATH v1.0.00,,,,,,,v1.0.00,,,,latest,,,,,,,,,,
fsi_1.0,https://w3id.org/okn/o/sdm#EmpiricalModel,FSI v1,"This Python routine calculates a flood severity index based on the annual maxima of volumetric flow for the period 1981-2017 obtained from the GloFAS data (http://www.globalfloods.eu/). The thresholds were estimated from a Gumbel distribution using the methods of L-moments. The severity is based on a 2-yr return period (medium), 5-yr return period (high), and 20-yr return period (severe).",khider_deborah,,hydrology; flood; index,Hydrology,fsi_1.0_simple,1,11/21/2019,"The outputs are in netcdf format. The index is a boolean corresponding to the severity of the flood:
0: None
1: Medium (2-yr return period)
2: high (5-yr return period)
3: severe (20-yr return period)",fsi_grid,latest,,,,,,,,,,
modflow_2005,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Modflow 2005,MODFLOW-2005 simulates steady and nonsteady flow in an irregularly shaped flow system in which aquifer layers can be confined or unconfined. Flow from external stresses such as flow to wells and areal recharge or evapotranspiration can be simulated (usgs.gov. 2019),Harbaugh_Arlen,modflow2005_source,groundwater modeling; steady and nonsteady flow; areal recharge; evapotranspiration; flow to drains; flow through river beds,Hydrology,modflow_2005_cfg,1.12.00,,,modflow_grid_general,latest,modflow_2005_funding,usgs,modflow_team,,https://water.usgs.gov/water-resources/software/MODFLOW-2005/readme.txt,https://www.usgs.gov/software/modflow-2005-usgs-three-dimensional-finite-difference-ground-water-model,groundwater modeling,Harbaugh; A. W. (2005). MODFLOW-2005- the US Geological Survey modular ground-water model: the ground-water flow process (pp. 6-A16). Reston; VA: US Department of the Interior. US Geological Survey.,https://www.usgs.gov/software/modflow-2005-usgs-three-dimensional-finite-difference-ground-water-model,modflow_2005_image
pihm_2.2,https://w3id.org/okn/o/sdm#Theory-GuidedModel,PIHM v2.2,Release 2.2 of the PIHM model,kumar_mesh,pihm_sourceCode,channel routing; surface overland flow; subsurface flow; interception; snow melt; evapotranspiration; semi-discrete approach,Hydrology,pihm-v2,2.2,,,pihm_grid_general,,,penn_state_university,duffy_christopher,,,,,,,
pihm_v4,https://w3id.org/okn/o/sdm#Theory-GuidedModel,PIHM V4,Version of PIHM adapted to C++ and including PIHM GIS transformations. All inputs and output have been modified to facilitate using standard formats,shu_lele,pihm_sourceCode_v4,channel routing; surface overland flow; subsurface flow; interception; snow melt; evapotranspiration; semi-discrete approach,Hydrology,pihm-v4;pihm-v4.1.0,4,6/25/2019,,pihm_grid_general,latest,,penn_state_university,shu_lele,https://github.com/shulele/PIHM_Tech/blob/master/PIHM_Tech.pdf,https://github.com/shulele/PIHM-4.0/blob/master/README.md,,,,,
swat_1.2.0,,,,,,,,,,,,,,,,,,,,,,,
topoflow_3.5,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Topoflow v3.5,Topoflow 3.5,peckham_scott,topoflow_sourceCode_v3.6,snowmelt;precipitation;evapotranspiration;infiltration;channel/overland flow;shallow subsurface flow;flow diversions,Hydrology,topoflow_cfg_simple,3.5,,,,,,,,,,,,,,
topoflow_3.6,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Topoflow v3.6-2.1.0,Topoflow 3.6-2.1.0 tested with the infiltration package,peckham_scott,topoflow_sourceCode_v3.6,snowmelt;precipitation;evapotranspiration;infiltration;channel/overland flow;shallow subsurface flow;flow diversions,Hydrology,topoflow36_2.1.0,3.6-2.1.0,,,,,,,,,,,,,,
wgen_1.0.1,https://w3id.org/okn/o/sdm#EmpiricalModel,wgen v1.0.1,,khider_deborah,,,Weather,weather_generator,1.0.1,,,,latest,wgen_1.0.1_funding,,,,,,,,,
